Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2020,22,Aguascalientes,14,124,423,626,0,16,9,35,0,4,5,10
2020,22,Baja California,69,402,948,1784,0,34,33,117,0,10,21,74
2020,22,Baja California Sur,16,55,221,331,0,7,1,24,0,3,1,1
2020,22,Campeche,8,123,260,451,0,11,14,17,0,6,6,15
2020,22,Coahuila,18,106,397,638,2,38,46,114,0,16,10,41
2020,22,Colima,15,106,294,737,4,61,59,36,2,15,23,2
2020,22,Chiapas,5,75,287,531,0,22,13,68,0,4,7,22
2020,22,Chihuahua,44,879,2192,4438,5,86,81,224,2,26,51,114
2020,22,Ciudad de México,149,1463,3572,8712,3,98,90,987,0,19,31,92
2020,22,Durango,60,431,1132,2069,1,27,26,85,0,4,14,28
2020,22,Guanajuato,35,247,817,1245,2,16,19,71,0,4,7,25
2020,22,Guerrero,9,136,373,901,0,12,11,41,0,3,3,7
2020,22,Hidalgo,12,166,624,1052,0,17,15,46,0,7,19,28
2020,22,Jalisco,124,849,2230,3664,6,117,96,292,2,38,52,100
2020,22,México,48,587,1739,3286,1,82,69,243,1,16,19,53
2020,22,Michoacán,51,369,874,1344,1,50,61,100,1,20,40,52
2020,22,Morelos,15,203,701,976,0,46,33,107,0,9,8,30
2020,22,Nayarit,42,460,1356,1219,0,9,11,40,0,5,6,42
2020,22,Nuevo León,34,427,921,1900,6,60,39,135,2,20,27,68
2020,22,Oaxaca,13,153,406,692,0,43,15,79,0,6,10,27
2020,22,Puebla,29,278,633,1261,2,29,25,90,0,6,8,24
2020,22,Querétaro,12,57,198,408,2,17,5,25,0,7,5,14
2020,22,Quintana Roo,13,128,426,587,0,2,4,18,0,2,0,12
2020,22,San Luis Potosí,27,267,644,1248,2,40,39,58,0,6,15,26
2020,22,Sinaloa,36,337,1099,1758,1,72,89,202,3,38,46,99
2020,22,Sonora,31,146,443,911,2,48,19,97,0,12,23,47
2020,22,Tabasco,33,243,637,828,0,29,22,55,2,18,20,41
2020,22,Tamaulipas,48,476,1122,2055,4,34,37,131,3,16,23,72
2020,22,Tlaxcala,12,49,220,289,0,16,14,36,0,1,4,5
2020,22,Veracruz,46,493,1532,3051,5,116,89,290,1,23,40,111
2020,22,Yucatán,13,111,396,761,0,10,9,30,0,5,6,14
2020,22,Zacatecas,40,189,504,764,2,8,11,39,0,3,4,13
