Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2025,16,Aguascalientes,35,124,377,454,0,7,4,25,0,5,2,6
2025,16,Baja California,96,497,975,1607,6,22,11,49,2,9,21,26
2025,16,Baja California Sur,5,64,168,283,2,15,9,24,0,3,3,6
2025,16,Campeche,31,146,346,428,3,24,13,35,1,6,3,7
2025,16,Coahuila,61,231,549,716,1,22,21,78,0,16,23,26
2025,16,Colima,58,282,531,910,2,39,30,90,1,6,9,16
2025,16,Chiapas,67,232,805,1009,4,26,21,47,0,3,5,12
2025,16,Chihuahua,157,555,1451,2497,10,67,70,172,2,18,36,52
2025,16,Ciudad de México,584,1933,5125,7117,1,33,29,126,4,10,9,36
2025,16,Durango,68,231,785,1233,7,66,58,116,1,13,9,20
2025,16,Guanajuato,92,378,1315,1848,5,34,42,52,0,4,8,19
2025,16,Guerrero,60,190,649,844,7,28,24,40,2,4,5,10
2025,16,Hidalgo,61,159,821,977,3,7,15,25,0,3,12,9
2025,16,Jalisco,255,860,1937,2972,25,118,119,203,3,25,33,60
2025,16,México,202,894,2507,3297,5,72,48,129,0,13,20,18
2025,16,Michoacán,128,564,1503,1935,6,81,63,113,0,12,11,31
2025,16,Morelos,69,203,692,912,1,28,29,109,1,4,9,20
2025,16,Nayarit,98,390,804,919,1,9,6,6,0,7,15,10
2025,16,Nuevo León,123,502,1360,1481,4,47,29,75,0,14,19,28
2025,16,Oaxaca,24,254,477,609,3,39,23,43,1,11,17,36
2025,16,Puebla,73,229,629,1070,4,8,18,52,1,10,3,8
2025,16,Querétaro,25,90,312,406,2,5,4,18,0,0,1,5
2025,16,Quintana Roo,18,120,307,612,3,18,26,22,1,1,6,9
2025,16,San Luis Potosí,70,220,698,1019,1,22,19,51,0,0,4,33
2025,16,Sinaloa,73,395,952,1844,14,80,94,132,2,20,27,56
2025,16,Sonora,63,212,638,1091,0,25,11,46,1,10,8,23
2025,16,Tabasco,73,449,807,1489,2,20,18,46,1,7,4,14
2025,16,Tamaulipas,53,239,706,1239,13,77,66,137,2,14,18,55
2025,16,Tlaxcala,22,98,328,490,1,4,3,10,0,1,0,4
2025,16,Veracruz,145,475,1544,1915,17,139,107,245,3,16,24,55
2025,16,Yucatán,110,372,1030,1151,2,22,21,34,1,2,4,13
2025,16,Zacatecas,74,128,494,730,0,2,5,4,1,1,3,2
