Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2023,20,Aguascalientes,30,125,395,383,3,14,11,22,0,2,9,5
2023,20,Baja California,100,515,1133,1590,6,37,62,74,3,12,28,50
2023,20,Baja California Sur,32,251,375,648,2,13,6,24,1,4,5,3
2023,20,Campeche,25,156,408,407,1,18,9,34,2,5,6,15
2023,20,Coahuila,60,390,837,881,0,35,33,73,3,11,18,19
2023,20,Colima,41,178,454,417,6,50,59,118,0,10,31,31
2023,20,Chiapas,40,191,619,794,2,44,29,51,2,8,18,17
2023,20,Chihuahua,142,712,1999,2703,5,66,50,152,3,28,35,59
2023,20,Ciudad de México,490,2297,6247,7936,3,55,44,168,3,9,17,32
2023,20,Durango,101,404,1299,1160,3,79,65,98,2,7,17,18
2023,20,Guanajuato,114,441,2104,1693,5,50,40,56,2,16,12,12
2023,20,Guerrero,68,323,950,710,1,31,31,50,0,4,11,11
2023,20,Hidalgo,66,193,901,815,2,23,17,33,0,6,8,13
2023,20,Jalisco,184,1132,2841,3493,17,173,161,307,3,55,51,90
2023,20,México,294,1331,3750,4216,10,119,116,196,2,31,43,66
2023,20,Michoacán,84,380,1144,1141,2,49,44,88,1,13,12,29
2023,20,Morelos,74,310,1009,1042,6,69,73,98,1,6,14,11
2023,20,Nayarit,65,305,798,1089,1,9,13,41,0,7,9,12
2023,20,Nuevo León,88,586,1463,1698,4,59,41,84,2,12,30,55
2023,20,Oaxaca,43,285,668,709,1,39,29,73,2,10,10,26
2023,20,Puebla,48,405,989,1493,1,22,30,42,0,6,7,5
2023,20,Querétaro,27,88,235,274,0,9,4,10,0,2,3,8
2023,20,Quintana Roo,31,106,373,666,1,14,13,20,0,3,3,11
2023,20,San Luis Potosí,59,262,764,799,1,35,33,47,0,6,13,16
2023,20,Sinaloa,73,390,1135,1379,13,77,96,182,3,30,42,58
2023,20,Sonora,69,293,966,887,5,27,32,64,2,12,27,35
2023,20,Tabasco,114,750,1560,883,5,56,44,65,0,14,7,12
2023,20,Tamaulipas,72,446,1071,1424,7,74,65,179,2,25,37,62
2023,20,Tlaxcala,23,118,311,408,1,15,17,17,0,0,2,4
2023,20,Veracruz,141,667,2026,2483,11,157,135,286,2,41,43,65
2023,20,Yucatán,40,190,631,838,3,28,21,87,1,4,12,39
2023,20,Zacatecas,33,158,507,619,0,8,1,7,0,1,1,5
