Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2024,49,Aguascalientes,37,387,978,1667,0,39,29,78,0,9,13,26
2024,49,Baja California,112,1525,3366,4372,1,78,55,206,2,28,45,97
2024,49,Baja California Sur,14,204,589,1369,0,22,22,55,0,4,7,16
2024,49,Campeche,32,384,1002,1318,0,64,32,68,0,11,8,27
2024,49,Coahuila,57,715,1803,3217,12,119,96,192,4,36,49,86
2024,49,Colima,54,897,1786,2355,3,163,105,285,5,17,21,65
2024,49,Chiapas,107,732,2509,2464,4,83,65,195,0,23,15,57
2024,49,Chihuahua,155,2075,5568,7696,9,251,226,428,3,62,109,187
2024,49,Ciudad de México,424,6077,15946,22575,5,181,164,377,2,24,64,93
2024,49,Durango,94,1043,3355,4771,14,206,165,380,3,25,36,61
2024,49,Guanajuato,107,1264,4511,6152,1,87,84,207,1,21,40,68
2024,49,Guerrero,65,699,1893,3105,4,67,51,160,1,12,15,39
2024,49,Hidalgo,55,492,2490,3263,1,42,37,76,0,11,18,23
2024,49,Jalisco,169,3050,6721,10023,15,362,316,1095,3,58,112,258
2024,49,México,247,2482,7569,14301,5,183,172,881,2,24,35,260
2024,49,Michoacán,132,1978,5150,4718,17,217,200,227,0,19,50,74
2024,49,Morelos,74,629,2355,3127,3,140,139,354,0,16,23,45
2024,49,Nayarit,78,1110,2152,3189,0,17,17,108,0,12,25,59
2024,49,Nuevo León,98,1405,3854,5354,2,158,97,249,1,39,61,92
2024,49,Oaxaca,31,760,1520,2128,0,82,61,177,1,30,49,59
2024,49,Puebla,88,1061,2698,4275,4,122,108,210,2,24,13,31
2024,49,Querétaro,11,252,939,1021,0,25,15,39,0,6,5,18
2024,49,Quintana Roo,17,488,1230,1339,0,44,38,83,1,7,15,15
2024,49,San Luis Potosí,45,976,2393,2831,5,96,70,207,2,21,39,54
2024,49,Sinaloa,95,1428,3750,4097,10,233,194,525,3,65,87,178
2024,49,Sonora,98,867,2672,3615,3,84,66,167,0,14,46,70
2024,49,Tabasco,62,1420,3056,5799,1,81,69,254,1,22,36,45
2024,49,Tamaulipas,46,886,2637,4069,13,223,188,375,4,66,107,157
2024,49,Tlaxcala,25,339,1187,1131,2,23,31,70,1,3,4,4
2024,49,Veracruz,124,1463,4587,6759,16,406,332,763,0,49,77,189
2024,49,Yucatán,95,991,2729,2940,3,71,71,129,1,11,20,33
2024,49,Zacatecas,56,657,2059,2031,0,12,10,34,0,5,8,10
