Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,22,Aguascalientes,21,111,328,359,1,8,16,23,0,1,4,5
2022,22,Baja California,75,457,1277,1801,3,41,40,108,3,12,43,43
2022,22,Baja California Sur,29,354,332,377,3,18,11,17,0,1,2,3
2022,22,Campeche,18,117,332,430,2,27,10,27,0,11,5,18
2022,22,Coahuila,45,304,648,645,3,48,33,48,0,12,9,24
2022,22,Colima,25,122,349,419,7,77,55,116,4,12,24,16
2022,22,Chiapas,42,214,652,686,3,38,21,65,2,12,8,18
2022,22,Chihuahua,153,857,2217,2600,12,86,93,126,4,25,44,47
2022,22,Ciudad de México,430,2290,6789,4911,5,98,90,101,1,10,25,27
2022,22,Durango,74,312,1006,1145,3,50,54,48,2,3,18,9
2022,22,Guanajuato,131,351,1594,1407,7,38,31,49,1,3,10,13
2022,22,Guerrero,55,176,618,538,7,27,34,27,2,3,12,9
2022,22,Hidalgo,54,220,839,808,0,16,18,41,1,7,7,4
2022,22,Jalisco,185,1075,2799,3390,10,188,150,185,7,40,60,83
2022,22,México,322,1271,3526,3032,7,124,86,122,4,25,46,26
2022,22,Michoacán,62,310,976,1261,5,52,45,72,2,13,21,21
2022,22,Morelos,90,255,929,862,11,71,42,59,0,5,6,9
2022,22,Nayarit,65,324,905,907,4,29,18,34,3,8,8,17
2022,22,Nuevo León,120,482,1431,1220,2,48,44,70,2,20,37,37
2022,22,Oaxaca,48,229,566,376,6,49,36,36,5,10,22,7
2022,22,Puebla,72,509,1110,1028,4,23,22,45,1,3,4,8
2022,22,Querétaro,14,74,232,288,0,7,4,12,0,4,4,3
2022,22,Quintana Roo,33,210,519,573,2,8,17,12,0,2,8,3
2022,22,San Luis Potosí,47,216,694,804,5,27,28,41,0,7,9,19
2022,22,Sinaloa,87,410,1120,1330,13,97,104,130,5,33,34,46
2022,22,Sonora,73,271,755,1308,4,45,31,71,2,16,21,39
2022,22,Tabasco,50,197,679,683,5,44,29,35,0,6,6,19
2022,22,Tamaulipas,85,429,1106,1417,2,54,47,65,2,16,35,24
2022,22,Tlaxcala,29,130,341,396,5,13,11,24,0,3,1,3
2022,22,Veracruz,164,599,2173,2227,16,175,140,209,4,33,44,49
2022,22,Yucatán,64,244,685,566,7,55,41,39,1,13,28,6
2022,22,Zacatecas,34,193,497,634,0,7,2,4,0,2,3,5
