Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2016,36,Aguascalientes,94,519,1608,1403,1,39,36,28,1,13,23,10
2016,36,Baja California,63,398,1567,1933,9,82,71,165,1,33,60,85
2016,36,Baja California Sur,18,146,421,633,0,16,15,40,1,9,8,14
2016,36,Campeche,12,207,619,662,1,29,20,40,1,8,11,11
2016,36,Coahuila,13,131,363,525,0,11,19,26,0,6,5,11
2016,36,Colima,31,175,633,673,4,56,40,64,0,6,7,12
2016,36,Chiapas,29,163,600,783,3,74,46,76,5,13,20,33
2016,36,Chihuahua,172,1769,4014,4039,14,173,202,124,2,74,93,46
2016,36,Distrito Federal,318,2745,8989,11878,13,202,250,384,4,43,88,101
2016,36,Durango,96,767,2304,3192,3,85,85,194,0,10,23,45
2016,36,Guanajuato,68,260,1073,515,4,56,50,54,0,22,32,28
2016,36,Guerrero,66,240,947,1365,5,64,52,119,0,18,22,39
2016,36,Hidalgo,50,302,980,1184,1,64,47,91,2,7,16,11
2016,36,Jalisco,209,1573,4811,5811,23,335,278,507,7,57,97,136
2016,36,México,173,1187,4211,4607,18,246,211,351,3,34,51,83
2016,36,Michoacán,69,490,1664,2322,10,90,82,134,1,17,15,28
2016,36,Morelos,29,297,982,1658,10,94,85,167,2,15,18,42
2016,36,Nayarit,34,229,811,1038,2,41,38,68,0,11,18,29
2016,36,Nuevo León,60,478,1829,1924,4,99,76,233,2,44,65,82
2016,36,Oaxaca,33,267,757,876,7,112,77,211,0,37,42,66
2016,36,Puebla,44,452,1244,1938,4,92,115,271,0,16,14,36
2016,36,Querétaro,18,156,574,745,1,27,36,62,1,5,13,26
2016,36,Quintana Roo,10,234,603,545,1,28,17,45,0,7,7,12
2016,36,San Luis Potosí,49,530,1648,2333,2,49,49,115,3,16,26,41
2016,36,Sinaloa,70,568,2071,2457,7,238,240,373,7,79,80,141
2016,36,Sonora,39,382,1430,1953,4,86,96,167,2,43,57,73
2016,36,Tabasco,36,272,677,1059,4,46,24,59,0,8,12,17
2016,36,Tamaulipas,74,1090,1958,2837,4,99,102,227,3,44,63,109
2016,36,Tlaxcala,11,79,292,398,1,30,41,41,0,5,9,14
2016,36,Veracruz,79,720,2432,2746,6,214,193,293,3,45,71,90
2016,36,Yucatán,33,156,724,1113,3,41,28,78,1,16,26,52
2016,36,Zacatecas,19,154,584,706,0,21,13,16,2,9,5,18
