Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2018,51,Aguascalientes,20,369,1098,2897,2,38,43,98,0,10,14,30
2018,51,Baja California,88,1350,3638,3752,2,130,121,189,1,37,67,92
2018,51,Baja California Sur,27,222,611,1043,1,21,19,37,0,8,7,18
2018,51,Campeche,14,342,974,1267,3,39,34,54,2,11,17,26
2018,51,Coahuila,6,283,669,1806,0,24,19,301,0,5,8,82
2018,51,Colima,39,326,1135,1335,2,48,52,111,0,10,21,29
2018,51,Chiapas,21,433,1169,1725,3,94,80,154,0,18,30,36
2018,51,Chihuahua,198,3071,7584,9843,10,268,285,522,3,63,141,247
2018,51,Ciudad de México,342,4743,13226,17549,42,532,511,506,6,83,142,220
2018,51,Durango,83,968,3334,4413,3,118,138,236,0,27,46,53
2018,51,Guanajuato,38,638,2296,2658,4,84,69,185,2,29,23,85
2018,51,Guerrero,17,397,1254,1865,0,47,37,161,0,9,18,50
2018,51,Hidalgo,26,490,1676,2325,1,67,61,157,0,17,16,54
2018,51,Jalisco,145,2731,7308,10561,11,452,430,936,9,148,159,283
2018,51,México,116,2265,6553,9685,10,232,191,485,1,43,57,136
2018,51,Michoacán,55,1240,3046,4323,8,148,147,262,1,30,42,55
2018,51,Morelos,39,543,1729,2348,5,138,123,205,2,17,32,61
2018,51,Nayarit,104,747,2237,1664,0,47,47,89,0,41,50,110
2018,51,Nuevo León,67,1015,2810,3775,5,166,136,323,2,73,115,139
2018,51,Oaxaca,31,437,1174,1524,2,85,92,168,2,23,36,85
2018,51,Puebla,27,602,1652,2528,0,106,99,296,0,20,27,53
2018,51,Querétaro,15,237,753,881,3,33,25,64,0,10,15,12
2018,51,Quintana Roo,16,280,879,1242,1,30,54,63,0,12,8,27
2018,51,San Luis Potosí,44,770,2505,3487,1,107,99,233,0,21,17,57
2018,51,Sinaloa,57,1203,3219,5478,3,266,252,515,3,103,117,208
2018,51,Sonora,25,480,1661,2356,3,147,107,266,5,36,71,156
2018,51,Tabasco,9,372,1081,1627,0,60,32,124,0,19,19,36
2018,51,Tamaulipas,93,1569,3734,5490,6,193,161,307,2,80,99,202
2018,51,Tlaxcala,10,140,524,569,0,37,28,65,0,5,10,26
2018,51,Veracruz,90,1397,4761,6067,8,334,302,635,6,80,115,172
2018,51,Yucatán,38,365,1469,2368,4,49,52,88,0,16,23,49
2018,51,Zacatecas,28,396,1210,1610,1,23,22,56,0,9,6,17
