Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2023,33,Aguascalientes,46,257,774,716,1,28,20,38,0,3,15,11
2023,33,Baja California,78,879,1961,2594,5,60,92,124,2,21,47,86
2023,33,Baja California Sur,37,411,607,1100,1,22,14,41,1,5,6,4
2023,33,Campeche,15,273,636,760,3,32,17,53,3,10,9,23
2023,33,Coahuila,64,670,1428,1672,4,69,61,143,2,18,30,70
2023,33,Colima,51,421,961,721,6,104,95,204,1,12,36,72
2023,33,Chiapas,47,365,1146,1288,0,77,64,95,0,14,28,27
2023,33,Chihuahua,194,1266,3580,4700,9,129,103,273,2,49,64,107
2023,33,Ciudad de México,455,4245,11259,13541,14,121,103,281,6,19,44,71
2023,33,Durango,108,726,2441,2125,11,128,101,172,2,13,26,32
2023,33,Guanajuato,120,808,3373,3086,4,77,56,106,0,18,23,21
2023,33,Guerrero,43,558,1609,1338,6,56,54,96,1,8,20,26
2023,33,Hidalgo,90,329,1747,1655,2,31,23,52,0,9,10,20
2023,33,Jalisco,212,1917,4563,6127,21,303,289,496,4,75,87,143
2023,33,México,298,2489,6894,7927,28,259,226,353,6,62,83,105
2023,33,Michoacán,82,713,2169,2072,2,81,68,157,0,22,23,49
2023,33,Morelos,55,481,1666,1836,7,121,122,176,0,8,20,16
2023,33,Nayarit,42,506,1313,1875,3,24,31,65,1,8,22,30
2023,33,Nuevo León,131,978,2495,3020,9,95,75,146,2,24,46,85
2023,33,Oaxaca,28,465,1058,1312,3,60,55,135,2,13,23,56
2023,33,Puebla,50,737,1682,2711,3,42,56,129,1,8,9,19
2023,33,Querétaro,16,148,400,516,0,15,6,22,0,6,5,11
2023,33,Quintana Roo,41,215,652,1042,2,31,24,38,2,4,5,14
2023,33,San Luis Potosí,64,423,1427,1440,6,73,66,72,1,10,24,23
2023,33,Sinaloa,86,660,2023,2346,7,150,166,304,5,53,76,99
2023,33,Sonora,69,521,1715,1798,3,64,46,112,2,18,36,56
2023,33,Tabasco,90,1094,2692,1584,3,88,67,109,2,19,13,15
2023,33,Tamaulipas,74,801,1880,2483,12,129,113,294,3,39,59,105
2023,33,Tlaxcala,34,182,572,711,2,25,23,37,0,1,3,6
2023,33,Veracruz,125,1136,3485,4468,28,290,251,495,3,63,75,124
2023,33,Yucatán,88,464,1387,1633,4,48,37,141,0,5,17,59
2023,33,Zacatecas,44,286,978,1080,0,11,3,17,0,2,1,7
