Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2016,29,Aguascalientes,79,423,1250,1136,3,26,28,24,2,11,16,8
2016,29,Baja California,58,319,1246,1583,4,63,58,140,1,26,48,71
2016,29,Baja California Sur,10,126,342,506,0,13,10,29,0,7,4,13
2016,29,Campeche,34,173,525,524,1,26,18,26,0,8,9,9
2016,29,Coahuila,9,110,310,417,2,11,16,21,1,4,3,9
2016,29,Colima,22,151,530,541,0,45,37,60,0,6,5,9
2016,29,Chiapas,31,121,470,638,5,65,41,47,0,11,14,26
2016,29,Chihuahua,193,1391,3234,3136,11,141,153,97,2,57,76,34
2016,29,Distrito Federal,311,2302,7577,9568,15,153,204,300,4,36,71,85
2016,29,Durango,62,611,1862,2503,7,73,65,145,1,9,21,32
2016,29,Guanajuato,34,201,793,307,2,49,44,30,0,15,28,23
2016,29,Guerrero,26,173,752,1055,0,49,43,92,0,17,18,31
2016,29,Hidalgo,44,219,727,938,3,53,37,62,0,6,10,5
2016,29,Jalisco,206,1236,3740,4342,16,267,229,369,3,40,83,106
2016,29,México,139,956,3270,3619,14,199,158,281,3,30,42,60
2016,29,Michoacán,73,414,1366,1804,4,74,66,105,1,14,12,19
2016,29,Morelos,33,197,723,1394,2,72,72,151,2,8,14,39
2016,29,Nayarit,26,180,621,840,1,31,27,54,0,11,17,24
2016,29,Nuevo León,53,386,1457,1439,0,81,62,189,1,38,49,48
2016,29,Oaxaca,24,210,601,671,6,90,59,162,5,28,26,51
2016,29,Puebla,38,355,1007,1544,2,75,94,229,1,12,12,26
2016,29,Querétaro,28,111,434,631,0,23,27,47,1,4,9,18
2016,29,Quintana Roo,21,198,489,467,0,20,12,34,0,7,5,10
2016,29,San Luis Potosí,69,415,1253,1799,3,41,40,92,1,14,20,30
2016,29,Sinaloa,77,468,1683,1938,9,200,206,310,2,63,67,113
2016,29,Sonora,52,302,1158,1565,5,75,81,133,2,33,48,62
2016,29,Tabasco,25,219,549,845,2,33,18,47,0,8,10,14
2016,29,Tamaulipas,69,875,1496,2044,7,75,77,197,2,30,49,94
2016,29,Tlaxcala,11,66,225,301,2,26,33,33,0,4,8,11
2016,29,Veracruz,93,576,2019,2224,20,164,148,207,3,39,56,76
2016,29,Yucatán,30,130,545,944,0,32,20,68,1,12,22,43
2016,29,Zacatecas,11,127,446,572,0,18,9,13,0,7,3,8
