Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,26,Aguascalientes,36,139,409,441,1,9,17,26,0,2,5,6
2022,26,Baja California,78,537,1518,2288,2,47,46,143,4,15,46,51
2022,26,Baja California Sur,46,417,430,467,0,21,13,18,0,1,2,3
2022,26,Campeche,36,151,417,493,2,31,13,29,1,12,5,18
2022,26,Coahuila,71,366,803,782,2,63,36,60,2,16,12,30
2022,26,Colima,24,150,442,527,3,94,64,141,2,17,30,25
2022,26,Chiapas,26,245,770,839,3,48,25,86,1,14,10,21
2022,26,Chihuahua,119,1001,2654,3165,6,109,112,155,5,28,56,57
2022,26,Ciudad de México,493,2793,8256,6020,8,117,116,122,2,15,37,35
2022,26,Durango,85,392,1257,1354,5,62,64,62,3,4,23,13
2022,26,Guanajuato,93,434,1987,1744,2,46,36,63,4,7,12,19
2022,26,Guerrero,40,238,783,702,4,32,45,38,0,5,14,16
2022,26,Hidalgo,35,265,1033,1036,4,24,19,57,1,7,9,7
2022,26,Jalisco,230,1295,3532,4251,9,222,176,227,3,47,68,99
2022,26,México,285,1559,4398,3787,9,143,108,161,2,29,52,36
2022,26,Michoacán,59,394,1181,1567,4,62,50,88,1,13,26,22
2022,26,Morelos,78,326,1131,1078,4,87,52,75,0,5,7,11
2022,26,Nayarit,66,375,1102,1152,0,31,21,43,1,10,11,23
2022,26,Nuevo León,120,584,1742,1497,3,53,54,91,2,25,44,53
2022,26,Oaxaca,40,262,707,483,3,59,42,47,1,8,24,8
2022,26,Puebla,83,611,1352,1363,3,31,27,66,1,4,5,10
2022,26,Querétaro,15,88,283,365,0,11,4,18,1,5,4,3
2022,26,Quintana Roo,23,230,611,667,2,10,19,14,0,2,8,5
2022,26,San Luis Potosí,41,248,831,987,2,32,32,50,1,8,13,23
2022,26,Sinaloa,61,483,1353,1638,11,126,124,155,2,39,40,57
2022,26,Sonora,86,362,999,1560,2,52,32,89,0,17,24,58
2022,26,Tabasco,37,254,857,804,2,53,33,42,0,7,6,23
2022,26,Tamaulipas,59,510,1369,1741,6,70,53,85,3,18,41,30
2022,26,Tlaxcala,25,155,426,467,2,16,13,30,0,3,1,3
2022,26,Veracruz,123,733,2627,2790,15,218,165,273,4,39,54,67
2022,26,Yucatán,70,323,911,678,6,60,52,47,1,17,33,11
2022,26,Zacatecas,35,230,627,738,0,11,2,6,1,2,4,5
