Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2024,31,Aguascalientes,39,243,608,948,0,24,18,47,0,5,7,18
2024,31,Baja California,78,1021,2139,2675,2,50,37,144,2,18,28,64
2024,31,Baja California Sur,10,137,389,947,0,17,17,35,1,3,6,10
2024,31,Campeche,23,236,603,874,2,46,26,44,1,10,3,15
2024,31,Coahuila,25,431,1055,1973,1,77,58,117,0,13,23,45
2024,31,Colima,62,569,1139,1251,4,102,68,187,1,9,13,46
2024,31,Chiapas,48,435,1504,1469,3,48,34,139,0,16,11,42
2024,31,Chihuahua,126,1290,3622,4427,10,176,141,216,5,40,63,109
2024,31,Ciudad de México,431,4025,10541,14228,3,132,115,181,4,16,45,46
2024,31,Durango,84,576,1808,2967,6,105,88,217,2,14,22,36
2024,31,Guanajuato,105,814,2870,3938,4,57,60,128,1,10,25,40
2024,31,Guerrero,36,431,1207,2062,3,45,37,83,1,8,13,21
2024,31,Hidalgo,39,311,1550,1926,0,21,20,49,0,7,10,19
2024,31,Jalisco,196,1934,4223,6054,13,216,185,532,6,40,71,152
2024,31,México,215,1563,4762,8800,9,128,113,428,0,15,19,133
2024,31,Michoacán,92,1153,2915,2714,5,130,119,138,0,10,37,43
2024,31,Morelos,57,378,1391,2030,6,91,90,231,0,10,17,27
2024,31,Nayarit,42,651,1286,1720,0,10,8,52,2,6,15,29
2024,31,Nuevo León,124,913,2507,3253,5,101,60,158,1,24,39,66
2024,31,Oaxaca,27,407,771,1461,1,54,39,112,1,27,35,34
2024,31,Puebla,53,665,1692,2271,2,71,68,91,0,15,8,16
2024,31,Querétaro,7,155,579,513,2,21,9,19,1,4,4,12
2024,31,Quintana Roo,34,337,827,806,2,27,26,49,0,4,7,7
2024,31,San Luis Potosí,81,550,1565,1692,2,68,48,125,0,16,30,32
2024,31,Sinaloa,92,921,2417,2508,6,146,128,300,2,45,54,117
2024,31,Sonora,70,585,1743,2103,3,52,42,105,2,13,31,50
2024,31,Tabasco,59,889,1994,3584,3,53,46,150,1,9,21,30
2024,31,Tamaulipas,74,583,1742,2503,7,133,108,227,6,43,62,92
2024,31,Tlaxcala,8,234,760,699,0,16,22,46,0,3,3,4
2024,31,Veracruz,114,865,2933,4299,13,248,204,488,2,37,49,131
2024,31,Yucatán,73,582,1674,1661,5,46,32,79,0,5,11,21
2024,31,Zacatecas,82,412,1289,1172,2,8,3,14,0,4,3,3
