Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,35,Aguascalientes,16,152,462,757,1,26,13,29,0,2,8,10
2021,35,Baja California,99,881,2265,2030,8,99,96,83,5,20,56,46
2021,35,Baja California Sur,32,282,453,415,1,21,8,12,0,2,2,3
2021,35,Campeche,19,206,449,514,0,21,15,27,0,17,13,13
2021,35,Coahuila,35,286,820,717,0,52,32,105,0,31,14,32
2021,35,Colima,18,173,552,599,8,106,104,163,3,12,35,49
2021,35,Chiapas,21,240,810,543,2,63,49,52,3,17,17,15
2021,35,Chihuahua,124,1163,3214,4272,9,118,108,224,3,41,50,104
2021,35,Ciudad de México,387,2837,7673,7831,4,107,95,220,2,21,33,55
2021,35,Durango,50,451,1341,2464,3,54,38,71,0,9,7,23
2021,35,Guanajuato,104,577,1916,1527,5,59,35,46,0,8,24,14
2021,35,Guerrero,15,187,680,738,3,28,32,27,0,9,9,7
2021,35,Hidalgo,28,282,1108,1082,2,50,30,37,1,7,5,35
2021,35,Jalisco,162,1611,4255,4912,13,212,147,288,3,56,82,116
2021,35,México,158,1508,4061,3349,8,131,100,195,4,24,35,40
2021,35,Michoacán,72,598,1496,1974,6,73,55,149,1,16,18,78
2021,35,Morelos,29,345,1181,1288,4,56,63,92,0,7,9,19
2021,35,Nayarit,41,422,1121,2651,3,36,33,29,0,15,15,14
2021,35,Nuevo León,60,562,1542,1960,1,77,55,143,2,33,45,66
2021,35,Oaxaca,20,209,504,739,3,35,42,68,0,7,14,20
2021,35,Puebla,62,548,1278,1388,0,39,34,104,0,3,15,22
2021,35,Querétaro,11,100,375,361,0,18,10,28,0,2,3,17
2021,35,Quintana Roo,9,186,700,750,0,10,12,12,0,6,2,3
2021,35,San Luis Potosí,51,368,1007,1321,7,50,39,95,2,15,18,23
2021,35,Sinaloa,66,498,1635,2071,4,100,103,175,1,34,43,93
2021,35,Sonora,61,590,1532,930,6,69,49,69,1,40,36,40
2021,35,Tabasco,33,356,874,1135,0,31,21,55,2,13,19,31
2021,35,Tamaulipas,61,730,1635,2296,3,66,55,83,4,21,30,48
2021,35,Tlaxcala,11,178,405,399,2,25,18,35,0,2,3,9
2021,35,Veracruz,139,1003,2716,2721,6,205,168,266,0,37,52,72
2021,35,Yucatán,32,252,735,651,1,35,33,28,0,1,17,12
2021,35,Zacatecas,23,217,776,1020,1,7,3,23,0,2,3,10
