Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2019,18,Aguascalientes,25,145,347,629,3,17,10,29,0,4,4,9
2019,18,Baja California,72,446,1048,1586,3,51,51,64,3,19,34,29
2019,18,Baja California Sur,15,76,185,278,0,14,4,9,0,1,0,6
2019,18,Campeche,22,111,253,541,0,8,8,24,0,5,5,9
2019,18,Coahuila,39,119,366,370,1,57,41,19,1,6,23,8
2019,18,Colima,41,128,455,468,2,12,17,36,0,1,1,20
2019,18,Chiapas,12,125,327,552,2,35,20,66,0,6,12,22
2019,18,Chihuahua,239,1069,2510,3211,15,99,88,186,5,31,57,61
2019,18,Ciudad de México,413,1780,4881,5730,55,399,365,187,6,27,45,64
2019,18,Durango,104,370,1250,1481,7,28,37,98,1,7,15,22
2019,18,Guanajuato,55,197,770,1056,7,31,25,57,1,7,13,17
2019,18,Guerrero,25,121,439,526,2,19,14,29,2,0,3,10
2019,18,Hidalgo,67,188,638,769,2,14,25,51,0,12,12,16
2019,18,Jalisco,154,835,2139,3491,17,120,106,295,1,26,61,99
2019,18,México,158,626,1991,3090,10,102,92,137,3,18,28,31
2019,18,Michoacán,49,329,800,1361,4,39,37,98,1,11,21,28
2019,18,Morelos,34,171,615,770,9,49,36,90,1,11,14,19
2019,18,Nayarit,21,304,741,600,1,21,11,37,3,10,24,41
2019,18,Nuevo León,72,431,1082,1079,5,58,53,101,1,22,27,56
2019,18,Oaxaca,14,117,360,453,1,25,37,47,2,10,11,12
2019,18,Puebla,65,292,669,707,2,32,42,83,0,7,14,18
2019,18,Querétaro,16,69,258,265,0,10,13,16,1,7,5,13
2019,18,Quintana Roo,27,93,381,307,0,9,4,36,0,4,6,6
2019,18,San Luis Potosí,51,238,756,1131,3,25,22,86,1,10,10,13
2019,18,Sinaloa,88,336,1086,1686,9,71,97,170,3,31,53,80
2019,18,Sonora,40,151,573,652,5,43,33,90,2,14,24,31
2019,18,Tabasco,32,141,511,574,5,29,14,34,2,12,20,14
2019,18,Tamaulipas,101,544,1217,2060,11,46,50,132,2,27,31,69
2019,18,Tlaxcala,12,44,167,206,2,24,9,21,0,2,3,4
2019,18,Veracruz,134,614,1831,2064,9,119,108,231,7,29,62,55
2019,18,Yucatán,28,120,496,607,1,15,12,42,0,7,5,9
2019,18,Zacatecas,40,157,469,496,2,12,15,22,0,2,7,4
