Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,51,Aguascalientes,26,333,936,911,3,21,30,57,1,4,14,15
2022,51,Baja California,73,1130,3027,4540,0,108,84,280,1,38,85,102
2022,51,Baja California Sur,19,723,914,1120,0,29,19,45,0,2,4,7
2022,51,Campeche,12,323,910,941,0,50,27,55,0,22,10,46
2022,51,Coahuila,72,867,1953,1670,1,114,69,134,0,43,35,67
2022,51,Colima,14,319,965,1093,4,168,121,325,0,32,77,75
2022,51,Chiapas,19,448,1417,1592,0,85,59,153,0,30,24,48
2022,51,Chihuahua,112,1851,5214,6542,2,207,199,360,2,52,105,132
2022,51,Ciudad de México,355,5646,16043,14505,7,204,214,315,0,42,61,66
2022,51,Durango,21,805,2573,2722,0,135,110,155,0,9,34,26
2022,51,Guanajuato,47,944,4028,3659,5,92,71,149,2,13,20,46
2022,51,Guerrero,30,554,1833,1263,1,68,71,96,0,15,25,31
2022,51,Hidalgo,32,524,1723,2246,2,49,40,124,1,14,23,23
2022,51,Jalisco,156,2581,7080,8992,14,419,356,590,4,94,142,228
2022,51,México,336,3446,9785,9475,7,303,241,355,2,59,98,84
2022,51,Michoacán,80,938,2666,3208,9,134,104,221,5,26,51,47
2022,51,Morelos,52,665,2240,2366,3,162,106,212,2,11,19,31
2022,51,Nayarit,42,776,2237,2394,0,62,34,103,0,16,22,52
2022,51,Nuevo León,108,1254,3473,3178,8,113,119,219,2,56,81,128
2022,51,Oaxaca,24,514,1602,1231,3,125,84,140,0,28,60,43
2022,51,Puebla,61,1277,2850,3126,3,108,83,154,0,15,24,32
2022,51,Querétaro,14,179,675,702,0,24,13,43,0,9,9,9
2022,51,Quintana Roo,17,394,1040,1339,4,29,40,46,0,5,16,20
2022,51,San Luis Potosí,42,588,1759,2130,4,62,58,131,0,16,34,44
2022,51,Sinaloa,50,905,2761,3300,7,248,215,344,3,64,90,113
2022,51,Sonora,27,739,2196,2991,4,100,77,164,1,31,55,98
2022,51,Tabasco,49,826,2094,2050,5,103,68,69,2,12,18,67
2022,51,Tamaulipas,49,1051,2688,3463,3,200,194,204,1,50,114,83
2022,51,Tlaxcala,30,296,792,855,2,34,37,58,0,6,8,8
2022,51,Veracruz,158,1656,5427,5691,14,455,326,587,3,68,109,135
2022,51,Yucatán,42,641,1918,1619,2,104,93,113,1,26,58,30
2022,51,Zacatecas,27,471,1284,1520,3,24,9,21,1,4,9,9
