Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,52,Aguascalientes,23,337,955,921,1,22,30,59,0,4,14,15
2022,52,Baja California,43,1145,3055,4566,2,109,85,282,1,38,86,102
2022,52,Baja California Sur,18,732,923,1141,3,32,19,46,0,2,4,7
2022,52,Campeche,15,328,920,948,0,50,27,55,0,22,10,47
2022,52,Coahuila,47,878,1994,1697,3,116,71,135,2,43,37,69
2022,52,Colima,13,322,975,1102,7,171,125,328,2,32,79,78
2022,52,Chiapas,20,450,1435,1617,1,85,60,156,0,30,24,48
2022,52,Chihuahua,69,1861,5275,6621,5,211,200,364,4,53,108,133
2022,52,Ciudad de México,329,5760,16295,14782,10,210,218,326,1,42,62,67
2022,52,Durango,57,829,2646,2761,9,141,116,158,0,9,35,26
2022,52,Guanajuato,54,954,4072,3697,0,92,71,150,1,13,21,47
2022,52,Guerrero,20,559,1850,1279,2,69,72,96,0,15,25,32
2022,52,Hidalgo,33,532,1751,2276,2,50,41,126,0,14,23,23
2022,52,Jalisco,100,2617,7151,9104,11,427,359,600,3,97,142,235
2022,52,México,163,3492,9910,9630,7,307,244,367,6,62,101,86
2022,52,Michoacán,47,951,2700,3257,3,136,104,226,1,27,51,47
2022,52,Morelos,32,676,2261,2390,4,164,108,216,0,11,19,31
2022,52,Nayarit,40,788,2265,2408,2,64,34,105,1,16,23,52
2022,52,Nuevo León,79,1276,3530,3231,6,116,122,225,0,56,81,129
2022,52,Oaxaca,17,521,1623,1255,2,127,85,145,1,28,61,43
2022,52,Puebla,27,1283,2850,3190,2,110,82,154,0,15,24,32
2022,52,Querétaro,13,182,685,708,1,25,13,43,0,9,9,9
2022,52,Quintana Roo,16,400,1050,1370,1,30,40,46,0,5,16,21
2022,52,San Luis Potosí,24,592,1779,2159,4,62,62,133,2,17,35,44
2022,52,Sinaloa,48,917,2806,3330,3,250,216,346,3,65,92,115
2022,52,Sonora,28,749,2215,3014,2,101,78,166,1,32,55,100
2022,52,Tabasco,45,831,2076,2073,3,105,69,70,0,12,18,69
2022,52,Tamaulipas,34,1067,2719,3523,5,203,196,209,0,50,114,84
2022,52,Tlaxcala,31,305,814,867,1,34,38,61,0,6,8,9
2022,52,Veracruz,107,1685,5476,5757,6,458,328,594,1,69,109,136
2022,52,Yucatán,50,651,1958,1660,3,107,93,114,0,26,58,30
2022,52,Zacatecas,15,475,1295,1538,1,24,10,21,0,4,9,9
