Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,17,Aguascalientes,20,80,226,244,1,4,12,15,0,1,3,4
2022,17,Baja California,96,366,965,1316,7,34,31,78,3,11,35,29
2022,17,Baja California Sur,27,289,266,283,3,14,5,11,0,1,2,2
2022,17,Campeche,25,84,241,308,0,20,6,20,2,8,5,11
2022,17,Coahuila,61,237,524,454,5,39,25,31,3,9,14,17
2022,17,Colima,28,103,261,286,4,58,41,80,1,10,21,9
2022,17,Chiapas,34,167,506,476,6,28,14,54,1,10,5,13
2022,17,Chihuahua,191,664,1692,1915,8,62,67,90,2,15,29,37
2022,17,Ciudad de México,458,1646,5093,3434,14,78,71,65,0,9,19,20
2022,17,Durango,58,223,745,866,7,37,41,38,0,2,14,7
2022,17,Guanajuato,87,261,1150,1033,2,21,22,42,1,3,9,8
2022,17,Guerrero,30,118,454,355,6,17,25,20,1,2,6,4
2022,17,Hidalgo,59,153,590,590,0,10,15,24,1,7,5,2
2022,17,Jalisco,198,779,2088,2405,22,148,112,127,5,30,38,62
2022,17,México,197,894,2436,2072,12,100,68,86,5,17,37,16
2022,17,Michoacán,67,222,693,914,2,44,40,51,1,12,16,20
2022,17,Morelos,38,176,702,596,4,55,29,36,0,4,5,8
2022,17,Nayarit,67,262,673,683,1,24,12,25,2,6,6,13
2022,17,Nuevo León,99,372,1037,902,2,36,30,52,8,16,29,23
2022,17,Oaxaca,41,174,400,277,2,34,28,23,1,5,16,3
2022,17,Puebla,95,399,858,790,3,14,17,29,0,2,2,4
2022,17,Querétaro,16,61,176,191,1,5,4,9,0,4,4,2
2022,17,Quintana Roo,43,164,398,453,0,7,13,10,1,2,7,2
2022,17,San Luis Potosí,61,172,533,561,5,15,23,28,1,7,9,14
2022,17,Sinaloa,82,323,857,968,10,73,76,95,6,25,21,31
2022,17,Sonora,55,194,564,973,7,32,19,43,4,16,16,23
2022,17,Tabasco,42,151,509,409,4,36,21,24,0,6,5,13
2022,17,Tamaulipas,87,304,818,1057,1,43,36,51,3,14,26,22
2022,17,Tlaxcala,34,90,262,302,1,7,7,15,0,3,1,2
2022,17,Veracruz,170,449,1600,1638,17,143,103,156,3,22,32,38
2022,17,Yucatán,60,169,506,427,5,46,35,27,2,8,24,5
2022,17,Zacatecas,38,150,358,469,1,4,2,3,0,2,3,5
