Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2015,38,Aguascalientes,46,455,1030,543,0,17,12,8,0,3,8,2
2015,38,Baja California,41,455,1577,1923,2,87,89,189,0,32,54,87
2015,38,Baja California Sur,8,154,495,637,2,26,16,37,1,5,10,11
2015,38,Campeche,21,178,520,452,0,26,16,2,0,9,6,12
2015,38,Coahuila,19,228,790,1402,3,42,72,233,0,20,22,63
2015,38,Colima,19,154,558,625,1,36,29,89,0,5,7,9
2015,38,Chiapas,20,151,680,795,6,56,28,125,1,19,15,36
2015,38,Chihuahua,131,1209,3106,3172,1,56,73,259,1,16,34,83
2015,38,Distrito Federal,253,2952,9069,9715,9,165,173,156,2,41,49,84
2015,38,Durango,96,748,2594,1381,3,107,90,72,0,22,25,16
2015,38,Guanajuato,31,119,428,281,0,34,42,23,1,12,23,2
2015,38,Guerrero,27,331,1168,134,3,75,49,30,0,23,17,8
2015,38,Hidalgo,27,286,953,1154,2,40,55,144,0,7,6,18
2015,38,Jalisco,172,1528,4638,2590,22,290,254,176,7,67,84,53
2015,38,México,86,1102,3750,4530,9,192,175,449,0,44,40,129
2015,38,Michoacán,39,562,1877,1836,1,62,83,174,1,14,16,57
2015,38,Morelos,15,322,1371,1766,2,84,85,168,0,13,29,42
2015,38,Nayarit,28,252,852,1066,1,46,25,70,1,10,20,62
2015,38,Nuevo León,47,458,1582,564,2,135,106,34,3,22,63,3
2015,38,Oaxaca,19,260,652,903,6,127,95,119,0,31,34,21
2015,38,Puebla,42,442,1545,747,4,126,151,104,2,13,26,10
2015,38,Querétaro,16,153,619,325,0,38,25,9,1,13,15,3
2015,38,Quintana Roo,10,114,451,416,1,28,18,65,0,7,6,26
2015,38,San Luis Potosí,52,564,1873,1594,2,64,61,37,0,13,29,17
2015,38,Sinaloa,57,490,2096,1719,10,184,210,295,2,54,91,139
2015,38,Sonora,39,449,1569,1743,2,77,93,167,0,32,41,101
2015,38,Tabasco,30,255,880,951,3,33,33,79,0,10,7,16
2015,38,Tamaulipas,70,854,1757,1307,8,82,60,67,2,31,29,14
2015,38,Tlaxcala,5,88,335,108,1,29,17,23,0,4,11,2
2015,38,Veracruz,78,526,2258,2055,6,174,137,158,7,41,54,59
2015,38,Yucatán,16,235,921,1003,0,38,40,104,1,14,43,48
2015,38,Zacatecas,17,165,576,739,0,6,10,15,1,6,13,2
