Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,22,Aguascalientes,18,75,277,547,1,16,7,25,0,2,3,9
2021,22,Baja California,156,649,1412,1342,8,63,39,65,1,10,33,31
2021,22,Baja California Sur,16,139,236,272,1,13,4,9,0,1,2,3
2021,22,Campeche,24,130,300,383,0,17,10,25,0,11,7,12
2021,22,Coahuila,36,174,477,503,3,33,15,84,0,21,4,26
2021,22,Colima,30,95,324,400,5,58,56,120,3,4,11,38
2021,22,Chiapas,50,151,476,383,2,40,25,38,3,11,7,14
2021,22,Chihuahua,135,680,1881,3117,11,65,58,168,5,25,22,81
2021,22,Ciudad de México,375,1603,4074,5035,9,52,54,188,3,7,21,50
2021,22,Durango,48,297,846,1564,1,24,24,55,1,4,5,19
2021,22,Guanajuato,91,335,1071,1066,2,32,17,35,1,3,10,11
2021,22,Guerrero,42,117,422,529,3,12,15,23,1,5,4,7
2021,22,Hidalgo,45,174,633,798,2,27,14,32,1,4,0,26
2021,22,Jalisco,209,918,2468,3080,12,103,82,213,4,33,47,90
2021,22,México,220,841,2168,2336,6,69,55,154,1,13,14,35
2021,22,Michoacán,116,377,896,1243,5,37,35,110,0,7,14,60
2021,22,Morelos,60,206,645,912,9,26,33,80,0,7,2,16
2021,22,Nayarit,49,273,661,1804,3,16,18,20,2,9,8,11
2021,22,Nuevo León,73,357,863,1360,3,44,26,99,2,14,23,47
2021,22,Oaxaca,31,110,258,563,3,13,22,61,0,1,6,16
2021,22,Puebla,50,324,699,1055,6,28,16,81,1,1,7,16
2021,22,Querétaro,25,60,226,244,0,7,5,20,0,1,2,11
2021,22,Quintana Roo,42,130,443,544,0,6,6,7,0,3,0,1
2021,22,San Luis Potosí,58,211,575,892,2,23,18,80,2,7,12,19
2021,22,Sinaloa,77,289,1040,1427,6,68,62,160,2,27,19,84
2021,22,Sonora,69,359,946,595,7,41,30,55,3,23,16,29
2021,22,Tabasco,44,178,497,887,1,20,15,51,0,7,12,30
2021,22,Tamaulipas,69,445,1003,1591,4,38,28,69,0,10,16,39
2021,22,Tlaxcala,14,125,271,266,7,16,8,30,0,2,1,5
2021,22,Veracruz,132,597,1647,2068,14,122,87,206,2,21,28,63
2021,22,Yucatán,22,134,432,509,1,19,20,19,0,0,6,11
2021,22,Zacatecas,28,132,502,693,0,4,0,18,0,2,3,7
