Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2018,41,Aguascalientes,29,489,1160,2375,0,32,37,74,0,10,13,28
2018,41,Baja California,87,1058,2872,2949,9,96,89,156,5,29,52,74
2018,41,Baja California Sur,9,168,470,819,2,18,13,29,0,8,6,18
2018,41,Campeche,24,292,837,990,3,26,25,38,2,8,12,16
2018,41,Coahuila,5,248,594,1373,0,24,19,235,0,4,7,68
2018,41,Colima,17,275,882,1033,0,43,46,90,0,10,19,24
2018,41,Chiapas,47,349,933,1385,3,86,61,113,1,14,26,28
2018,41,Chihuahua,258,2423,6088,7727,8,211,236,404,2,53,111,194
2018,41,Ciudad de México,401,3672,10354,14250,38,322,329,402,4,58,104,167
2018,41,Durango,91,783,2678,3588,2,97,119,174,2,19,37,43
2018,41,Guanajuato,51,527,1884,2211,1,65,56,163,0,19,17,76
2018,41,Guerrero,41,325,967,1499,4,40,32,138,4,7,16,34
2018,41,Hidalgo,50,380,1348,1882,2,55,53,126,0,13,12,48
2018,41,Jalisco,195,2258,6023,8680,24,375,354,792,17,125,123,232
2018,41,México,219,1868,5325,7833,7,175,152,423,1,34,45,114
2018,41,Michoacán,78,991,2494,3522,6,116,120,206,2,28,37,45
2018,41,Morelos,32,461,1396,1896,3,103,100,144,0,12,27,47
2018,41,Nayarit,148,503,1462,1371,1,41,37,70,3,37,37,95
2018,41,Nuevo León,101,799,2279,3139,6,132,110,260,6,57,84,117
2018,41,Oaxaca,38,358,932,1280,1,63,70,137,1,13,30,55
2018,41,Puebla,50,476,1314,2052,3,95,82,257,1,17,21,43
2018,41,Querétaro,15,181,589,747,2,28,16,53,0,9,10,9
2018,41,Quintana Roo,21,201,681,982,1,22,47,46,1,11,5,23
2018,41,San Luis Potosí,46,630,2028,2817,2,88,95,183,0,17,15,39
2018,41,Sinaloa,72,993,2667,4384,7,220,209,416,6,80,90,168
2018,41,Sonora,32,394,1364,1958,3,128,96,226,4,28,57,129
2018,41,Tabasco,33,311,891,1204,2,49,27,108,0,15,11,28
2018,41,Tamaulipas,95,1285,3140,4430,5,166,132,236,5,72,88,172
2018,41,Tlaxcala,13,114,439,477,3,33,23,57,0,4,8,22
2018,41,Veracruz,119,1122,3781,4842,10,271,255,522,3,67,90,150
2018,41,Yucatán,32,303,1120,2002,1,43,43,67,3,10,16,42
2018,41,Zacatecas,21,327,945,1324,0,18,18,43,0,6,6,13
