Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,19,Aguascalientes,20,64,217,502,0,12,5,25,1,2,3,9
2021,19,Baja California,90,529,1164,1167,4,52,31,64,0,8,26,31
2021,19,Baja California Sur,19,115,203,229,1,12,3,9,0,1,1,3
2021,19,Campeche,23,105,254,357,1,14,9,25,2,10,7,12
2021,19,Coahuila,37,143,388,444,3,27,11,80,2,18,3,24
2021,19,Colima,26,80,263,365,8,48,44,105,0,3,9,36
2021,19,Chiapas,28,117,383,352,3,36,24,37,0,9,6,14
2021,19,Chihuahua,122,570,1577,2922,3,51,48,159,1,24,17,77
2021,19,Ciudad de México,290,1346,3274,4629,4,37,38,179,1,4,19,50
2021,19,Durango,57,260,718,1363,2,19,22,51,0,4,4,16
2021,19,Guanajuato,62,283,886,958,1,27,17,32,2,2,8,11
2021,19,Guerrero,40,90,318,495,1,9,13,22,0,3,1,7
2021,19,Hidalgo,50,140,541,759,3,20,11,29,0,2,0,26
2021,19,Jalisco,194,745,2046,2713,17,91,63,193,5,28,43,85
2021,19,México,160,687,1716,2185,10,59,46,146,3,11,11,33
2021,19,Michoacán,53,312,705,1075,4,32,26,103,0,6,14,55
2021,19,Morelos,41,170,507,851,4,18,24,78,0,7,1,16
2021,19,Nayarit,34,229,542,1661,1,15,14,20,0,6,8,9
2021,19,Nuevo León,53,303,722,1222,4,35,23,87,3,12,17,41
2021,19,Oaxaca,15,93,207,528,1,9,17,58,0,0,5,16
2021,19,Puebla,43,283,595,948,2,19,13,75,1,1,6,16
2021,19,Querétaro,14,53,171,211,1,7,3,18,1,1,2,11
2021,19,Quintana Roo,20,113,387,515,1,6,6,7,0,3,0,1
2021,19,San Luis Potosí,48,172,474,791,5,20,17,72,0,7,9,18
2021,19,Sinaloa,72,243,870,1316,10,59,52,158,2,21,17,78
2021,19,Sonora,62,296,805,510,5,32,24,49,6,14,16,26
2021,19,Tabasco,37,122,371,812,2,16,11,51,2,6,10,25
2021,19,Tamaulipas,72,386,855,1423,3,34,24,60,0,9,15,36
2021,19,Tlaxcala,23,113,242,228,0,10,6,29,0,2,1,4
2021,19,Veracruz,116,500,1390,1942,9,107,72,193,3,18,25,61
2021,19,Yucatán,35,113,374,475,0,15,14,19,0,0,6,11
2021,19,Zacatecas,24,110,420,612,1,4,0,16,0,2,3,7
