Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2015,22,Aguascalientes,52,268,591,162,2,11,7,5,1,0,5,1
2015,22,Baja California,52,172,584,997,9,29,37,105,1,12,18,48
2015,22,Baja California Sur,21,63,238,324,1,12,3,23,0,2,3,7
2015,22,Campeche,24,117,323,198,2,13,6,2,0,8,4,5
2015,22,Coahuila,29,136,474,704,1,27,42,130,0,14,14,36
2015,22,Colima,28,81,289,377,1,32,20,49,0,4,2,6
2015,22,Chiapas,9,102,409,344,0,23,12,63,1,9,9,20
2015,22,Chihuahua,123,638,1595,1413,6,29,39,156,0,8,14,44
2015,22,Distrito Federal,346,1591,4875,5283,10,77,73,89,4,23,24,59
2015,22,Durango,78,347,1180,688,1,27,20,36,0,7,7,8
2015,22,Guanajuato,6,27,116,158,1,7,15,12,0,7,8,2
2015,22,Guerrero,109,97,284,50,0,27,15,6,1,9,8,0
2015,22,Hidalgo,37,146,462,558,5,21,32,85,0,2,1,11
2015,22,Jalisco,193,743,2161,1128,19,114,110,72,4,30,33,18
2015,22,México,146,593,2026,2283,17,111,107,264,4,24,22,69
2015,22,Michoacán,64,275,977,889,5,31,42,127,2,3,7,36
2015,22,Morelos,48,223,883,925,3,60,60,77,0,9,20,20
2015,22,Nayarit,54,145,458,506,2,25,15,31,0,7,10,20
2015,22,Nuevo León,71,206,682,293,9,84,54,8,3,4,30,1
2015,22,Oaxaca,9,126,288,459,4,50,43,52,3,13,10,17
2015,22,Puebla,50,202,718,296,8,62,66,34,1,6,6,4
2015,22,Querétaro,25,61,239,159,2,9,8,9,0,2,4,2
2015,22,Quintana Roo,14,60,219,242,2,4,6,39,0,3,1,15
2015,22,San Luis Potosí,64,288,878,745,3,11,14,23,1,4,13,10
2015,22,Sinaloa,76,195,869,850,13,73,68,158,6,19,26,66
2015,22,Sonora,47,228,790,944,6,39,43,91,1,17,17,60
2015,22,Tabasco,26,116,451,494,0,10,10,40,0,4,2,8
2015,22,Tamaulipas,48,347,731,566,2,34,26,39,1,6,13,10
2015,22,Tlaxcala,6,49,157,56,3,17,9,16,1,2,6,1
2015,22,Veracruz,106,296,1298,1219,5,73,63,76,6,20,30,49
2015,22,Yucatán,36,130,473,494,2,25,18,57,2,8,23,30
2015,22,Zacatecas,28,87,309,388,0,2,7,11,0,2,3,2
