Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,21,Aguascalientes,25,72,262,533,1,15,7,25,0,2,3,9
2021,21,Baja California,129,596,1309,1267,7,59,35,65,6,10,32,31
2021,21,Baja California Sur,19,132,227,256,0,13,3,9,0,1,2,3
2021,21,Campeche,29,120,286,375,0,17,10,25,1,11,7,12
2021,21,Coahuila,39,162,453,485,5,31,14,82,1,21,4,26
2021,21,Colima,28,92,297,385,7,55,54,116,0,3,9,36
2021,21,Chiapas,35,138,435,378,1,38,25,38,0,9,6,14
2021,21,Chihuahua,150,645,1781,3070,10,58,54,163,1,25,17,79
2021,21,Ciudad de México,367,1520,3782,4886,9,49,48,185,1,5,20,50
2021,21,Durango,56,287,808,1504,2,22,24,54,0,4,4,19
2021,21,Guanajuato,74,313,1002,1031,1,30,17,33,1,2,10,11
2021,21,Guerrero,41,109,374,517,1,11,13,23,3,5,3,7
2021,21,Hidalgo,34,162,600,786,2,26,13,32,1,3,0,26
2021,21,Jalisco,206,859,2318,2954,9,100,73,207,2,31,45,88
2021,21,México,192,783,1998,2274,7,66,52,153,3,13,13,34
2021,21,Michoacán,57,338,808,1192,5,36,31,109,1,7,14,59
2021,21,Morelos,75,191,600,890,7,21,29,80,1,7,2,16
2021,21,Nayarit,51,263,622,1762,2,15,16,20,1,7,8,11
2021,21,Nuevo León,66,335,812,1326,3,42,25,93,5,14,21,45
2021,21,Oaxaca,17,104,233,550,3,12,20,61,2,1,6,16
2021,21,Puebla,49,303,663,1021,2,22,16,78,0,1,6,16
2021,21,Querétaro,24,57,204,232,2,7,5,18,0,1,2,11
2021,21,Quintana Roo,14,116,415,531,0,6,6,7,0,3,0,1
2021,21,San Luis Potosí,37,198,530,867,2,22,17,78,1,7,10,19
2021,21,Sinaloa,70,273,979,1396,8,67,57,159,2,25,19,81
2021,21,Sonora,71,342,894,563,6,36,28,54,2,20,16,29
2021,21,Tabasco,66,166,465,854,2,20,14,51,2,7,12,28
2021,21,Tamaulipas,72,419,960,1543,2,36,26,65,1,10,16,36
2021,21,Tlaxcala,15,119,263,254,1,11,6,30,0,2,1,5
2021,21,Veracruz,128,564,1556,2022,12,115,80,201,1,20,27,62
2021,21,Yucatán,32,126,416,496,4,18,20,19,0,0,6,11
2021,21,Zacatecas,36,129,477,653,0,4,0,16,0,2,3,7
