Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,38,Aguascalientes,26,213,659,686,0,15,25,43,0,4,8,11
2022,38,Baja California,113,830,2245,3399,6,75,71,210,2,28,67,86
2022,38,Baja California Sur,50,589,730,787,0,28,17,31,1,2,4,5
2022,38,Campeche,13,236,649,694,0,38,23,42,0,19,7,30
2022,38,Coahuila,68,601,1340,1209,0,88,49,87,2,30,22,50
2022,38,Colima,38,227,655,783,7,134,95,231,0,27,56,52
2022,38,Chiapas,32,351,1085,1224,4,69,41,122,3,21,18,40
2022,38,Chihuahua,110,1447,3931,4819,3,153,153,246,4,40,84,99
2022,38,Ciudad de México,347,4178,11931,9775,8,158,165,193,0,29,54,50
2022,38,Durango,46,586,1849,1972,2,101,92,103,0,6,27,17
2022,38,Guanajuato,120,673,2946,2693,4,67,59,101,0,8,13,34
2022,38,Guerrero,42,372,1267,971,0,47,62,65,0,10,20,21
2022,38,Hidalgo,59,378,1589,1519,2,32,30,84,0,10,14,12
2022,38,Jalisco,152,1904,5249,6418,11,299,256,390,8,64,111,150
2022,38,México,244,2387,6796,6351,9,227,178,258,3,47,72,64
2022,38,Michoacán,64,640,1818,2333,5,97,77,133,2,18,38,36
2022,38,Morelos,54,484,1650,1704,1,125,80,128,1,6,15,17
2022,38,Nayarit,70,554,1659,1679,1,43,29,71,0,13,18,34
2022,38,Nuevo León,76,890,2574,2279,3,77,94,144,3,42,58,82
2022,38,Oaxaca,54,386,1170,777,0,90,66,87,0,22,44,26
2022,38,Puebla,75,918,2038,2140,2,49,39,102,1,6,9,26
2022,38,Querétaro,20,128,479,508,1,19,9,33,0,6,5,6
2022,38,Quintana Roo,16,317,822,951,1,19,26,25,1,3,14,13
2022,38,San Luis Potosí,45,417,1286,1533,2,48,43,91,4,12,22,36
2022,38,Sinaloa,72,674,2026,2335,3,181,160,221,1,51,62,83
2022,38,Sonora,45,541,1610,2289,1,82,49,126,1,26,38,82
2022,38,Tabasco,39,495,1466,1390,5,75,47,53,2,8,11,39
2022,38,Tamaulipas,80,825,2140,2566,4,166,147,132,3,41,82,60
2022,38,Tlaxcala,17,230,594,618,0,24,20,47,0,5,1,6
2022,38,Veracruz,124,1219,3982,4002,8,343,241,417,1,54,87,99
2022,38,Yucatán,40,462,1450,1091,4,81,77,72,0,21,43,18
2022,38,Zacatecas,20,338,921,1089,1,14,4,11,1,3,7,5
