Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2018,48,Aguascalientes,19,357,1049,2760,4,38,40,91,0,10,14,30
2018,48,Baja California,89,1273,3433,3545,1,121,110,178,1,35,64,88
2018,48,Baja California Sur,18,201,567,979,0,19,16,36,0,8,7,18
2018,48,Campeche,14,329,935,1175,1,34,29,49,1,10,14,24
2018,48,Coahuila,13,272,642,1690,0,24,19,285,1,5,7,81
2018,48,Colima,25,312,1043,1232,0,47,48,102,0,10,20,28
2018,48,Chiapas,28,410,1106,1639,1,92,75,136,1,16,28,35
2018,48,Chihuahua,220,2865,7137,9203,13,247,270,484,8,61,132,235
2018,48,Ciudad de México,315,4436,12365,16612,37,459,457,484,2,75,131,207
2018,48,Durango,81,906,3145,4188,1,108,134,212,0,26,44,48
2018,48,Guanajuato,41,609,2180,2546,3,76,64,179,3,27,20,80
2018,48,Guerrero,22,376,1181,1754,1,46,36,157,0,8,17,48
2018,48,Hidalgo,41,469,1588,2208,2,64,59,147,0,14,15,53
2018,48,Jalisco,139,2611,6990,10019,10,432,407,903,5,137,148,269
2018,48,México,122,2150,6238,9179,9,217,182,468,2,40,54,130
2018,48,Michoacán,58,1174,2908,4130,6,138,138,250,2,29,41,51
2018,48,Morelos,46,518,1635,2223,3,128,117,188,0,14,31,54
2018,48,Nayarit,84,674,1981,1578,2,47,46,85,2,41,48,108
2018,48,Nuevo León,62,940,2671,3611,9,157,130,301,6,70,113,130
2018,48,Oaxaca,18,407,1097,1469,1,79,87,160,0,21,34,75
2018,48,Puebla,33,572,1564,2390,1,104,96,280,0,20,26,48
2018,48,Querétaro,14,222,704,839,0,32,22,60,0,10,12,11
2018,48,Quintana Roo,34,252,829,1186,2,28,54,58,0,12,7,25
2018,48,San Luis Potosí,48,739,2381,3303,3,103,98,216,0,21,16,54
2018,48,Sinaloa,91,1144,3070,5169,7,257,237,486,6,98,110,197
2018,48,Sonora,24,457,1594,2249,2,142,106,253,5,34,63,150
2018,48,Tabasco,28,362,1044,1559,0,59,32,117,1,18,18,36
2018,48,Tamaulipas,84,1474,3546,5200,3,186,152,283,3,78,94,193
2018,48,Tlaxcala,11,134,507,551,0,36,26,63,0,5,9,25
2018,48,Veracruz,110,1322,4466,5727,11,316,292,601,4,72,107,162
2018,48,Yucatán,24,345,1372,2252,0,47,47,81,0,14,20,46
2018,48,Zacatecas,38,381,1148,1538,1,21,22,56,0,9,6,15
