Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,47,Aguascalientes,10,211,624,931,2,36,18,35,0,4,11,10
2021,47,Baja California,73,1192,3033,3219,5,140,125,126,2,25,73,62
2021,47,Baja California Sur,29,398,629,573,1,30,15,24,0,3,4,4
2021,47,Campeche,19,274,601,733,1,30,22,30,1,25,16,13
2021,47,Coahuila,31,346,1134,959,3,65,52,121,0,37,23,40
2021,47,Colima,29,248,775,793,11,151,148,216,3,18,49,59
2021,47,Chiapas,25,305,1050,843,5,79,65,73,1,21,24,34
2021,47,Chihuahua,119,1622,4414,5504,10,171,164,273,2,54,70,120
2021,47,Ciudad de México,370,3804,10337,10966,11,154,144,265,2,29,38,68
2021,47,Durango,68,610,1873,3148,8,86,56,101,0,11,11,30
2021,47,Guanajuato,75,767,2614,2095,1,83,54,62,0,13,27,22
2021,47,Guerrero,15,240,808,953,2,44,41,32,2,14,15,7
2021,47,Hidalgo,45,411,1609,1446,1,65,43,48,0,9,13,36
2021,47,Jalisco,133,2241,5973,6772,13,285,235,385,1,79,116,153
2021,47,México,228,2211,6156,4805,5,182,139,256,2,30,51,50
2021,47,Michoacán,70,819,2096,2655,9,105,83,197,0,20,23,102
2021,47,Morelos,44,484,1615,1752,10,97,84,129,0,9,18,28
2021,47,Nayarit,58,587,1593,3700,1,46,43,34,1,22,27,19
2021,47,Nuevo León,64,770,2118,2545,3,105,86,163,5,50,67,84
2021,47,Oaxaca,39,305,742,949,6,64,60,94,1,10,28,26
2021,47,Puebla,69,785,1895,1932,4,56,47,128,0,11,16,27
2021,47,Querétaro,16,133,515,485,0,28,15,39,0,3,6,19
2021,47,Quintana Roo,27,268,947,1076,0,18,17,16,0,10,8,7
2021,47,San Luis Potosí,34,532,1436,1859,3,63,49,121,0,16,24,27
2021,47,Sinaloa,81,713,2298,2762,6,148,158,215,2,47,61,107
2021,47,Sonora,50,794,2066,1610,0,90,61,101,2,48,49,57
2021,47,Tabasco,45,548,1318,1416,0,39,27,62,4,27,33,34
2021,47,Tamaulipas,53,967,2220,3049,5,96,85,108,1,33,44,56
2021,47,Tlaxcala,19,225,565,579,1,33,24,41,0,5,3,11
2021,47,Veracruz,127,1326,3854,3660,16,295,232,350,4,46,79,96
2021,47,Yucatán,24,369,1062,873,5,52,47,39,0,6,22,17
2021,47,Zacatecas,41,306,1109,1393,0,13,5,28,1,4,4,13
