Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2023,44,Aguascalientes,51,379,1097,1069,1,38,28,44,0,6,17,16
2023,44,Baja California,105,1193,2652,3635,3,83,111,174,1,27,61,108
2023,44,Baja California Sur,19,516,777,1520,1,28,19,46,0,6,8,6
2023,44,Campeche,10,365,827,1093,1,37,22,66,2,13,12,29
2023,44,Coahuila,88,890,2028,2417,9,90,72,178,4,33,47,97
2023,44,Colima,32,608,1389,1099,2,148,115,257,0,19,43,98
2023,44,Chiapas,34,534,1627,1640,0,91,92,132,1,21,30,45
2023,44,Chihuahua,145,1794,5034,6345,17,200,170,354,8,68,102,143
2023,44,Ciudad de México,513,5573,14951,18416,6,180,177,361,1,24,60,92
2023,44,Durango,80,974,3311,2937,5,193,155,224,0,15,35,41
2023,44,Guanajuato,111,1130,4478,4402,5,110,79,141,2,25,35,26
2023,44,Guerrero,27,737,2032,2058,1,75,78,122,0,10,28,39
2023,44,Hidalgo,105,442,2535,2396,2,42,34,75,1,11,12,36
2023,44,Jalisco,193,2676,6262,8397,31,505,474,659,3,110,128,203
2023,44,México,228,4382,9528,11134,13,447,388,476,6,103,132,142
2023,44,Michoacán,78,1049,3077,3001,8,101,104,194,1,26,36,65
2023,44,Morelos,44,634,2211,2495,8,165,154,241,1,13,24,24
2023,44,Nayarit,88,805,1983,2593,2,44,44,88,4,12,39,37
2023,44,Nuevo León,109,1347,3458,4095,7,127,109,192,2,31,57,122
2023,44,Oaxaca,21,621,1366,1855,5,83,70,181,2,23,33,80
2023,44,Puebla,114,1120,2507,3575,2,90,95,169,0,11,16,32
2023,44,Querétaro,33,229,648,734,0,19,15,32,0,9,9,15
2023,44,Quintana Roo,24,290,875,1302,2,43,37,55,1,5,9,20
2023,44,San Luis Potosí,51,541,1904,2063,2,102,88,104,1,15,34,40
2023,44,Sinaloa,88,924,2781,3174,3,221,250,401,0,70,96,137
2023,44,Sonora,90,768,2430,2610,5,91,58,154,1,25,44,78
2023,44,Tabasco,98,1688,3653,2522,7,128,94,149,0,24,18,22
2023,44,Tamaulipas,68,1079,2632,3334,12,187,151,347,0,54,82,141
2023,44,Tlaxcala,52,242,811,934,2,34,34,56,0,1,3,10
2023,44,Veracruz,126,1517,4546,6107,19,390,320,668,2,75,94,156
2023,44,Yucatán,65,678,1977,2263,3,65,57,184,0,9,22,79
2023,44,Zacatecas,37,408,1426,1463,1,18,11,25,0,4,6,12
