Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2017,37,Aguascalientes,61,592,1537,2202,2,30,35,76,0,10,16,36
2017,37,Baja California,112,632,2021,2031,2,65,70,158,2,23,43,95
2017,37,Baja California Sur,18,159,562,578,1,12,13,33,0,8,10,17
2017,37,Campeche,34,260,638,858,1,14,18,49,0,6,8,20
2017,37,Coahuila,37,201,868,505,9,101,113,31,2,25,35,11
2017,37,Colima,28,243,638,819,2,41,36,97,1,12,10,13
2017,37,Chiapas,35,331,927,790,6,70,31,132,1,11,15,33
2017,37,Chihuahua,234,1910,4831,5905,18,159,178,381,10,67,96,174
2017,37,Ciudad de México,321,3108,8974,12377,10,142,166,468,0,30,77,136
2017,37,Durango,99,750,2446,3247,5,79,75,183,1,19,15,33
2017,37,Guanajuato,42,420,1569,1474,4,94,54,98,3,27,44,45
2017,37,Guerrero,10,338,1010,1235,0,63,51,117,0,14,15,44
2017,37,Hidalgo,30,421,1301,1341,0,60,52,113,1,18,22,23
2017,37,Jalisco,189,2028,5701,6580,15,349,353,631,5,75,123,160
2017,37,México,159,1746,5211,5590,8,222,157,471,0,46,56,90
2017,37,Michoacán,83,843,2290,2229,9,88,99,177,2,22,19,32
2017,37,Morelos,66,444,1315,1299,1,64,61,183,2,12,33,41
2017,37,Nayarit,27,319,905,1079,4,29,36,81,0,34,52,30
2017,37,Nuevo León,91,768,2038,2375,11,140,93,181,4,47,65,111
2017,37,Oaxaca,23,299,851,1061,2,50,65,198,1,16,30,81
2017,37,Puebla,31,469,1283,1746,3,126,101,222,1,21,20,30
2017,37,Querétaro,18,135,520,754,1,33,15,62,0,5,4,18
2017,37,Quintana Roo,18,212,608,848,2,13,24,45,1,5,13,14
2017,37,San Luis Potosí,68,581,1792,2232,8,69,96,100,0,17,20,43
2017,37,Sinaloa,138,1050,2883,2722,11,189,197,489,7,84,75,162
2017,37,Sonora,22,412,1370,1856,0,112,89,182,0,40,76,99
2017,37,Tabasco,25,269,799,997,3,58,32,75,1,20,7,21
2017,37,Tamaulipas,96,1217,2669,3172,6,108,108,210,4,63,93,112
2017,37,Tlaxcala,19,92,336,381,1,26,25,72,0,10,11,14
2017,37,Veracruz,114,941,3192,3375,10,252,220,427,7,57,76,124
2017,37,Yucatán,32,526,1316,904,0,33,28,73,1,11,27,43
2017,37,Zacatecas,37,260,907,754,2,19,16,34,0,3,7,14
