Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2023,35,Aguascalientes,44,277,834,783,0,29,21,39,0,3,15,11
2023,35,Baja California,75,936,2078,2774,9,68,98,131,3,22,51,90
2023,35,Baja California Sur,11,430,636,1174,1,22,16,44,0,5,6,4
2023,35,Campeche,31,293,673,821,1,32,18,57,0,11,9,26
2023,35,Coahuila,62,700,1541,1758,2,72,63,149,2,19,34,74
2023,35,Colima,54,455,1071,775,2,108,99,212,1,12,38,79
2023,35,Chiapas,48,386,1227,1361,5,82,70,99,2,18,29,31
2023,35,Chihuahua,166,1345,3847,4962,8,138,115,287,4,54,68,110
2023,35,Ciudad de México,545,4528,12044,14428,14,128,119,294,3,22,46,75
2023,35,Durango,109,780,2601,2258,9,140,108,188,2,13,29,35
2023,35,Guanajuato,134,860,3593,3295,3,82,58,114,1,18,24,21
2023,35,Guerrero,51,599,1716,1468,5,59,62,106,0,8,20,28
2023,35,Hidalgo,68,344,1880,1796,4,34,27,58,0,9,10,21
2023,35,Jalisco,221,2055,4865,6570,41,343,325,518,7,81,97,157
2023,35,México,309,2641,7402,8507,33,299,273,371,12,70,93,111
2023,35,Michoacán,82,761,2319,2221,5,85,74,164,2,23,25,53
2023,35,Morelos,86,524,1787,1973,8,130,132,189,1,9,21,19
2023,35,Nayarit,77,549,1416,2016,1,27,32,68,1,8,25,31
2023,35,Nuevo León,102,1041,2653,3218,5,102,81,156,2,25,48,94
2023,35,Oaxaca,30,497,1116,1398,3,67,59,146,1,15,24,61
2023,35,Puebla,85,778,1750,2845,7,45,58,138,0,8,9,21
2023,35,Querétaro,7,151,416,554,2,15,8,25,0,8,5,11
2023,35,Quintana Roo,18,225,688,1073,4,34,27,40,0,5,6,15
2023,35,San Luis Potosí,43,448,1510,1605,6,78,71,79,2,11,26,26
2023,35,Sinaloa,80,714,2149,2486,13,159,181,322,4,59,82,107
2023,35,Sonora,78,565,1829,1939,4,67,49,119,1,18,37,59
2023,35,Tabasco,100,1393,2902,1773,5,96,70,115,1,19,15,17
2023,35,Tamaulipas,95,867,2009,2652,6,134,117,303,2,44,62,115
2023,35,Tlaxcala,25,193,617,769,1,27,27,42,0,1,3,6
2023,35,Veracruz,127,1205,3679,4732,10,304,263,537,3,64,81,132
2023,35,Yucatán,67,511,1501,1737,6,54,41,149,1,6,18,62
2023,35,Zacatecas,45,305,1054,1165,2,12,5,17,0,2,1,9
