Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,16,Aguascalientes,17,75,211,226,0,4,11,15,0,1,3,4
2022,16,Baja California,73,343,892,1211,1,31,27,69,4,9,34,27
2022,16,Baja California Sur,31,279,248,267,1,12,4,11,0,1,2,2
2022,16,Campeche,22,76,224,292,3,20,6,20,0,7,4,10
2022,16,Coahuila,46,214,463,410,2,33,22,29,1,9,4,15
2022,16,Colima,9,93,243,269,6,56,39,77,1,10,20,9
2022,16,Chiapas,31,158,479,450,3,23,13,51,1,9,5,12
2022,16,Chihuahua,117,604,1561,1792,2,60,61,84,1,13,29,37
2022,16,Ciudad de México,323,1523,4754,3191,3,71,64,53,1,9,19,20
2022,16,Durango,49,211,699,819,1,33,38,36,0,2,14,6
2022,16,Guanajuato,82,249,1075,955,4,19,22,40,0,3,8,8
2022,16,Guerrero,23,110,421,329,1,13,23,19,1,2,5,4
2022,16,Hidalgo,29,137,547,530,0,10,15,23,0,6,5,2
2022,16,Jalisco,134,723,1936,2229,11,135,103,122,4,27,36,53
2022,16,México,148,854,2277,1902,10,91,65,78,0,15,34,15
2022,16,Michoacán,48,206,642,855,5,42,40,48,0,12,15,20
2022,16,Morelos,26,168,672,540,5,53,27,32,0,4,5,7
2022,16,Nayarit,42,248,620,634,1,23,12,20,1,6,4,12
2022,16,Nuevo León,63,345,965,828,1,36,28,50,1,13,24,21
2022,16,Oaxaca,34,161,371,247,8,34,26,22,1,5,15,3
2022,16,Puebla,68,367,795,757,2,12,16,29,0,2,2,2
2022,16,Querétaro,15,59,162,179,0,4,4,8,0,4,4,2
2022,16,Quintana Roo,23,150,369,424,1,7,13,8,0,1,7,2
2022,16,San Luis Potosí,25,156,488,527,1,12,21,24,0,7,8,14
2022,16,Sinaloa,48,302,793,885,2,71,68,86,1,23,17,26
2022,16,Sonora,28,174,528,894,3,30,14,40,1,15,13,23
2022,16,Tabasco,40,140,478,361,2,34,19,22,1,6,5,11
2022,16,Tamaulipas,94,284,751,980,3,43,35,49,3,13,24,21
2022,16,Tlaxcala,14,80,238,284,2,7,6,14,0,3,1,1
2022,16,Veracruz,113,415,1464,1547,6,132,97,144,4,21,30,36
2022,16,Yucatán,31,157,455,397,3,42,34,24,3,8,22,4
2022,16,Zacatecas,30,145,323,429,0,3,2,3,0,2,3,5
