Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2022,25,Aguascalientes,24,130,380,423,1,8,17,26,1,2,5,5
2022,25,Baja California,87,512,1466,2152,4,45,46,127,2,13,44,50
2022,25,Baja California Sur,44,400,401,442,1,21,13,18,0,1,2,3
2022,25,Campeche,31,142,390,473,4,30,12,29,0,11,5,18
2022,25,Coahuila,29,357,799,746,7,71,43,59,1,21,32,30
2022,25,Colima,46,144,424,498,9,92,63,130,4,16,29,23
2022,25,Chiapas,37,237,752,804,4,46,25,81,1,13,10,20
2022,25,Chihuahua,137,962,2570,3039,14,104,111,147,3,27,52,53
2022,25,Ciudad de México,491,2667,7898,5675,16,112,113,117,4,15,35,35
2022,25,Durango,70,377,1183,1294,8,59,61,58,0,3,21,13
2022,25,Guanajuato,128,423,1905,1666,7,45,35,60,1,4,11,17
2022,25,Guerrero,51,227,751,662,1,29,44,34,0,5,14,16
2022,25,Hidalgo,70,258,1003,982,1,21,18,56,1,7,8,7
2022,25,Jalisco,210,1235,3361,4038,22,216,173,215,7,45,67,95
2022,25,México,264,1480,4190,3597,10,139,103,151,0,28,51,34
2022,25,Michoacán,80,373,1139,1507,3,59,49,83,1,13,25,22
2022,25,Morelos,54,298,1064,1027,3,84,51,71,0,5,7,11
2022,25,Nayarit,60,360,1051,1101,0,31,21,42,1,10,10,21
2022,25,Nuevo León,106,549,1658,1431,5,51,53,86,4,24,43,52
2022,25,Oaxaca,35,252,673,462,2,57,41,42,2,8,23,8
2022,25,Puebla,67,606,1344,1296,2,46,48,63,0,5,9,10
2022,25,Querétaro,21,85,271,347,1,11,4,16,0,4,4,3
2022,25,Quintana Roo,22,226,592,644,0,8,19,13,0,2,8,3
2022,25,San Luis Potosí,49,239,799,947,6,31,31,47,1,7,13,21
2022,25,Sinaloa,82,466,1309,1551,18,119,120,145,4,38,39,52
2022,25,Sonora,74,339,935,1499,3,50,32,86,1,17,24,53
2022,25,Tabasco,65,246,828,762,4,52,32,38,0,7,6,23
2022,25,Tamaulipas,88,497,1322,1656,5,66,51,82,0,17,39,29
2022,25,Tlaxcala,30,146,410,454,0,15,12,26,0,3,1,3
2022,25,Veracruz,135,709,2528,2654,21,209,159,259,3,38,51,62
2022,25,Yucatán,67,312,852,649,5,59,47,47,5,17,32,10
2022,25,Zacatecas,37,224,598,714,3,11,2,6,0,2,3,5
