Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2021,34,Aguascalientes,20,144,454,736,1,25,13,29,0,2,8,10
2021,34,Baja California,78,862,2185,1981,4,97,90,81,1,17,54,45
2021,34,Baja California Sur,33,265,434,402,2,21,7,12,0,2,2,3
2021,34,Campeche,18,200,436,494,2,21,15,27,1,17,13,13
2021,34,Coahuila,33,275,792,700,3,52,32,105,1,31,14,32
2021,34,Colima,12,171,536,585,8,102,100,161,1,12,32,48
2021,34,Chiapas,18,233,795,527,0,62,48,50,1,17,14,15
2021,34,Chihuahua,116,1134,3116,4184,4,112,105,217,2,40,48,101
2021,34,Ciudad de México,337,2735,7387,7633,5,107,91,217,1,20,32,55
2021,34,Durango,41,436,1304,2373,1,51,38,69,0,9,7,22
2021,34,Guanajuato,92,554,1835,1484,2,56,33,46,3,8,24,14
2021,34,Guerrero,21,183,669,712,2,28,29,27,1,9,9,7
2021,34,Hidalgo,35,279,1083,1066,3,48,29,37,0,7,4,34
2021,34,Jalisco,153,1572,4129,4753,14,203,142,281,2,55,80,114
2021,34,México,199,1469,3939,3246,12,128,95,192,2,22,33,39
2021,34,Michoacán,63,577,1445,1925,3,68,54,142,1,16,17,75
2021,34,Morelos,63,340,1157,1251,3,54,61,92,0,7,9,19
2021,34,Nayarit,42,408,1094,2578,2,34,32,27,1,15,15,14
2021,34,Nuevo León,62,550,1494,1902,2,76,55,136,5,32,44,65
2021,34,Oaxaca,21,204,488,718,6,35,39,68,1,7,14,20
2021,34,Puebla,73,527,1237,1358,2,38,33,104,3,3,15,21
2021,34,Querétaro,14,95,369,349,2,18,10,27,0,2,3,17
2021,34,Quintana Roo,17,185,692,733,0,10,12,10,0,6,2,3
2021,34,San Luis Potosí,35,353,971,1276,3,43,39,94,0,14,17,23
2021,34,Sinaloa,54,481,1586,2022,7,99,100,173,2,33,43,93
2021,34,Sonora,55,575,1483,888,2,67,45,68,3,40,35,39
2021,34,Tabasco,61,348,849,1111,0,31,21,55,1,12,18,30
2021,34,Tamaulipas,69,710,1588,2243,2,64,54,82,0,19,28,44
2021,34,Tlaxcala,17,176,396,382,2,23,18,35,1,2,3,8
2021,34,Veracruz,96,968,2607,2653,17,203,164,259,0,37,52,71
2021,34,Yucatán,40,239,710,635,2,34,33,27,1,1,17,12
2021,34,Zacatecas,36,211,759,985,0,7,2,22,0,2,3,10
