Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2020,52,Aguascalientes,14,235,746,1713,1,28,14,83,1,6,8,18
2020,52,Baja California,32,1069,2451,4484,2,79,58,251,1,23,47,180
2020,52,Baja California Sur,11,201,446,854,0,17,8,50,0,4,1,8
2020,52,Campeche,10,258,548,1173,0,14,19,52,0,8,6,29
2020,52,Coahuila,25,246,835,1797,2,66,63,236,3,24,22,99
2020,52,Colima,9,214,660,1632,4,112,133,248,1,26,35,65
2020,52,Chiapas,20,208,749,1232,0,45,30,159,1,23,28,54
2020,52,Chihuahua,61,1641,4203,10830,4,145,137,517,1,47,81,288
2020,52,Ciudad de México,224,3670,8467,19672,2,153,137,1307,0,28,48,197
2020,52,Durango,23,877,2457,4813,0,55,52,247,0,8,23,63
2020,52,Guanajuato,36,526,1752,3137,1,37,29,158,0,7,19,56
2020,52,Guerrero,10,273,742,2262,0,25,17,85,0,3,4,25
2020,52,Hidalgo,25,316,1261,2644,0,27,23,123,2,9,31,60
2020,52,Jalisco,92,1969,5403,9340,8,237,191,829,7,68,107,324
2020,52,México,96,1448,3960,8531,3,133,137,568,0,24,34,121
2020,52,Michoacán,46,838,2099,3451,8,115,107,298,1,43,66,126
2020,52,Morelos,46,462,1520,2906,2,86,54,263,0,16,15,58
2020,52,Nayarit,78,1059,3138,4400,2,20,20,101,0,11,11,116
2020,52,Nuevo León,36,812,1922,4600,8,107,72,338,1,43,46,164
2020,52,Oaxaca,13,268,768,1695,5,71,39,164,0,12,21,64
2020,52,Puebla,31,621,1366,3109,4,68,58,282,0,7,20,52
2020,52,Querétaro,14,112,414,952,2,35,9,67,0,12,7,33
2020,52,Quintana Roo,28,273,970,1504,0,8,11,52,0,5,5,29
2020,52,San Luis Potosí,17,574,1493,2923,0,68,66,182,1,7,26,58
2020,52,Sinaloa,54,728,2308,4524,2,108,123,498,1,46,64,243
2020,52,Sonora,35,463,1395,2584,2,89,45,192,2,32,46,104
2020,52,Tabasco,8,418,1072,2364,0,41,27,157,0,17,17,144
2020,52,Tamaulipas,45,1056,2310,4565,2,64,64,287,1,26,36,160
2020,52,Tlaxcala,19,164,482,756,3,24,21,67,3,6,8,17
2020,52,Veracruz,73,1074,2995,6846,14,225,164,726,3,39,65,222
2020,52,Yucatán,19,227,732,1766,2,24,19,98,1,12,10,48
2020,52,Zacatecas,19,472,1059,2006,0,16,15,91,0,4,9,27
