Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2020,38,Aguascalientes,19,186,613,1232,0,18,12,59,0,5,5,13
2020,38,Baja California,105,694,1624,3240,3,53,46,189,1,15,34,140
2020,38,Baja California Sur,9,116,334,615,2,10,5,34,0,3,1,7
2020,38,Campeche,11,191,381,788,0,11,16,41,0,7,6,20
2020,38,Coahuila,20,179,593,1240,2,55,54,186,0,20,14,76
2020,38,Colima,19,159,484,1252,5,81,95,134,0,23,27,32
2020,38,Chiapas,25,122,455,886,2,37,18,113,0,5,8,43
2020,38,Chihuahua,126,1278,3274,7899,4,121,115,407,1,39,69,221
2020,38,Ciudad de México,302,2662,5998,14792,1,117,109,1156,1,20,39,152
2020,38,Durango,64,704,1916,3540,8,39,40,178,0,5,19,44
2020,38,Guanajuato,57,390,1283,2288,1,26,25,122,1,4,12,41
2020,38,Guerrero,13,191,578,1717,0,18,10,70,0,3,4,14
2020,38,Hidalgo,26,238,907,1877,0,22,18,95,0,8,27,44
2020,38,Jalisco,168,1460,4031,6887,4,172,135,571,2,50,71,219
2020,38,México,100,987,2702,6153,5,104,102,429,0,19,21,96
2020,38,Michoacán,59,598,1534,2408,5,81,81,205,2,31,53,78
2020,38,Morelos,41,310,1044,1827,1,62,38,196,2,11,11,51
2020,38,Nayarit,93,731,2177,2845,1,14,16,76,0,9,6,84
2020,38,Nuevo León,48,625,1440,3409,1,89,60,246,0,35,34,118
2020,38,Oaxaca,11,204,562,1251,2,52,22,116,0,8,13,51
2020,38,Puebla,48,468,963,2292,2,51,45,194,0,6,15,41
2020,38,Querétaro,12,92,312,721,0,25,6,54,0,12,7,27
2020,38,Quintana Roo,40,198,633,1105,0,4,9,30,0,2,2,21
2020,38,San Luis Potosí,44,398,1089,2140,3,51,52,107,1,6,20,43
2020,38,Sinaloa,38,529,1672,3211,3,84,101,360,0,41,54,183
2020,38,Sonora,40,254,821,1706,2,67,24,159,0,25,31,80
2020,38,Tabasco,21,351,857,1717,0,34,22,115,0,17,16,106
2020,38,Tamaulipas,47,768,1680,3370,3,44,45,221,0,18,31,128
2020,38,Tlaxcala,18,109,339,574,0,19,18,53,0,3,6,12
2020,38,Veracruz,75,749,2167,5256,3,161,117,540,3,27,48,180
2020,38,Yucatán,13,148,541,1290,0,14,14,62,0,6,6,29
2020,38,Zacatecas,38,314,798,1421,1,12,13,66,0,4,7,20
