Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2016,46,Aguascalientes,76,679,2109,1909,4,46,52,36,1,15,28,15
2016,46,Baja California,66,539,2077,2505,5,104,97,223,8,49,79,113
2016,46,Baja California Sur,18,190,558,806,0,18,18,51,0,9,8,15
2016,46,Campeche,27,272,827,813,0,31,23,52,0,10,11,21
2016,46,Coahuila,7,155,449,643,0,15,20,27,0,7,6,14
2016,46,Colima,42,221,801,913,0,64,47,78,0,6,8,16
2016,46,Chiapas,44,258,837,1052,7,99,65,99,3,18,25,43
2016,46,Chihuahua,190,2335,5181,5411,15,217,244,170,5,90,115,81
2016,46,Distrito Federal,322,3547,11522,15246,6,245,300,519,4,57,103,137
2016,46,Durango,113,1018,3033,4122,3,102,104,259,1,13,27,57
2016,46,Guanajuato,59,378,1564,883,5,79,71,85,2,28,40,36
2016,46,Guerrero,33,314,1239,1907,5,80,62,160,1,21,33,54
2016,46,Hidalgo,54,428,1387,1516,2,74,61,119,0,11,20,17
2016,46,Jalisco,216,2033,6186,7611,14,420,348,728,3,76,123,202
2016,46,México,133,1549,5515,5945,17,298,269,476,6,43,72,104
2016,46,Michoacán,45,630,2115,2820,11,141,115,189,5,26,28,41
2016,46,Morelos,41,401,1346,1972,3,109,97,211,0,23,28,48
2016,46,Nayarit,32,298,1061,1306,3,50,47,94,0,17,30,36
2016,46,Nuevo León,58,608,2325,2560,7,137,102,292,4,54,85,123
2016,46,Oaxaca,29,352,979,1211,3,137,94,268,4,51,60,81
2016,46,Puebla,35,551,1585,2469,4,118,155,339,0,19,18,52
2016,46,Querétaro,21,201,734,958,0,31,43,75,0,8,15,30
2016,46,Quintana Roo,19,268,722,705,2,37,21,58,1,9,8,16
2016,46,San Luis Potosí,59,766,2192,3044,6,64,63,147,0,23,36,50
2016,46,Sinaloa,76,729,2680,3180,15,300,293,479,5,90,100,177
2016,46,Sonora,54,478,1837,2472,6,113,114,201,1,52,73,103
2016,46,Tabasco,25,322,844,1390,2,64,27,79,0,11,14,24
2016,46,Tamaulipas,56,1361,2496,3822,11,136,123,283,3,60,77,142
2016,46,Tlaxcala,16,95,356,526,1,43,45,54,2,6,12,19
2016,46,Veracruz,94,907,3165,3618,12,275,264,412,3,60,92,135
2016,46,Yucatán,20,191,890,1335,1,59,32,89,0,18,32,66
2016,46,Zacatecas,20,200,744,935,0,23,16,18,0,10,6,20
