Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2024,35,Aguascalientes,31,271,681,1113,0,29,19,50,1,6,10,18
2024,35,Baja California,79,1146,2436,3020,1,54,39,166,2,19,31,73
2024,35,Baja California Sur,17,156,448,1066,1,18,19,38,0,4,6,11
2024,35,Campeche,31,266,692,966,2,50,28,50,2,10,6,20
2024,35,Coahuila,49,476,1205,2245,5,86,63,135,1,15,25,53
2024,35,Colima,77,668,1328,1526,6,117,79,207,0,9,13,50
2024,35,Chiapas,77,486,1701,1708,8,60,40,152,1,18,11,47
2024,35,Chihuahua,177,1458,4068,5251,11,194,161,253,5,42,72,123
2024,35,Ciudad de México,392,4447,11718,16049,7,146,125,230,2,18,49,56
2024,35,Durango,120,679,2140,3393,6,127,102,253,2,16,26,42
2024,35,Guanajuato,102,901,3222,4468,3,62,64,142,0,13,29,44
2024,35,Guerrero,51,506,1392,2366,1,51,43,106,1,11,13,24
2024,35,Hidalgo,68,349,1744,2224,0,29,27,60,1,10,11,19
2024,35,Jalisco,204,2133,4768,6926,12,244,216,668,2,43,80,177
2024,35,México,191,1787,5391,10093,7,149,123,574,2,18,24,164
2024,35,Michoacán,124,1311,3301,3126,4,147,130,161,0,11,39,48
2024,35,Morelos,55,435,1592,2280,4,106,100,262,0,12,18,30
2024,35,Nayarit,67,753,1469,1956,2,13,11,59,0,6,19,33
2024,35,Nuevo León,109,1049,2868,3694,3,114,73,183,2,25,47,73
2024,35,Oaxaca,33,469,847,1623,0,60,44,129,1,28,38,38
2024,35,Puebla,83,734,1900,2722,0,72,69,142,1,15,9,21
2024,35,Querétaro,32,176,675,567,1,23,11,23,0,4,4,13
2024,35,Quintana Roo,35,383,921,921,3,30,30,59,1,6,8,11
2024,35,San Luis Potosí,69,628,1770,2018,5,74,55,151,0,17,32,36
2024,35,Sinaloa,93,1050,2738,2865,7,165,141,340,1,46,61,141
2024,35,Sonora,59,639,1960,2395,5,62,45,116,1,13,39,55
2024,35,Tabasco,89,981,2233,4299,3,58,50,166,1,10,25,34
2024,35,Tamaulipas,74,664,1926,2885,5,152,122,251,5,49,71,106
2024,35,Tlaxcala,50,263,864,810,1,18,23,54,0,3,3,4
2024,35,Veracruz,154,1016,3354,4944,9,271,233,567,3,39,56,146
2024,35,Yucatán,95,671,1942,2018,1,53,38,96,0,7,11,24
2024,35,Zacatecas,63,469,1504,1356,0,9,7,17,1,4,5,3
