Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2017,19,Aguascalientes,43,282,740,1012,2,13,18,36,1,4,9,14
2017,19,Baja California,51,290,881,1013,2,36,31,82,0,13,16,42
2017,19,Baja California Sur,24,68,249,282,1,6,9,17,0,1,3,9
2017,19,Campeche,18,114,311,410,1,7,10,25,0,2,5,14
2017,19,Coahuila,3,89,379,272,0,48,59,16,0,13,16,5
2017,19,Colima,13,115,330,472,2,17,23,61,1,6,5,7
2017,19,Chiapas,30,182,513,399,1,31,12,71,1,4,4,17
2017,19,Chihuahua,159,921,2198,2911,2,82,76,173,6,37,47,86
2017,19,Ciudad de México,266,1538,4773,6237,7,71,95,222,1,19,38,73
2017,19,Durango,71,375,1230,1659,4,44,30,83,0,7,6,23
2017,19,Guanajuato,47,227,764,694,3,44,28,55,1,21,21,23
2017,19,Guerrero,22,171,486,631,1,37,26,61,2,8,8,25
2017,19,Hidalgo,34,199,681,580,1,33,30,62,1,11,10,10
2017,19,Jalisco,199,976,2793,3027,23,187,181,318,4,37,63,71
2017,19,México,151,790,2529,2621,10,125,84,247,2,19,27,44
2017,19,Michoacán,74,421,1143,1092,6,44,35,91,0,11,11,19
2017,19,Morelos,27,218,666,586,3,35,29,103,1,3,17,15
2017,19,Nayarit,32,166,417,487,0,7,17,43,0,12,16,12
2017,19,Nuevo León,59,333,959,1140,9,69,43,89,5,26,37,63
2017,19,Oaxaca,23,155,476,566,0,25,27,93,0,12,22,29
2017,19,Puebla,36,259,672,913,1,48,49,116,0,8,4,18
2017,19,Querétaro,13,63,253,345,1,17,8,30,0,4,3,8
2017,19,Quintana Roo,19,116,319,499,0,4,13,25,1,3,7,7
2017,19,San Luis Potosí,41,279,900,1000,5,38,42,55,1,7,10,19
2017,19,Sinaloa,96,517,1475,1396,8,88,103,269,3,49,44,89
2017,19,Sonora,37,213,756,971,6,54,51,92,3,29,38,56
2017,19,Tabasco,18,159,432,465,3,29,16,32,2,6,3,11
2017,19,Tamaulipas,123,666,1282,1374,3,46,47,97,7,34,43,56
2017,19,Tlaxcala,4,52,168,176,4,18,19,34,1,6,10,9
2017,19,Veracruz,88,421,1411,1739,14,135,112,169,2,32,36,56
2017,19,Yucatán,74,152,575,412,3,15,17,25,1,6,18,20
2017,19,Zacatecas,42,118,440,337,2,10,11,20,1,2,2,5
