Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2025,48,Aguascalientes,29,464,1161,1328,1,29,21,69,0,8,7,22
2025,48,Baja California,109,1452,3393,4788,3,66,64,132,0,17,38,71
2025,48,Baja California Sur,19,194,489,799,1,46,20,45,0,5,10,11
2025,48,Campeche,29,406,1102,1355,2,79,38,96,0,10,8,19
2025,48,Coahuila,37,738,1796,2490,1,62,61,203,0,37,41,81
2025,48,Colima,73,928,1746,2628,5,99,89,265,1,21,27,33
2025,48,Chiapas,68,770,2769,3141,2,87,68,145,1,17,22,38
2025,48,Chihuahua,121,1932,5181,7509,4,179,227,468,5,73,136,168
2025,48,Ciudad de México,368,5991,16267,21466,2,119,99,337,3,31,49,84
2025,48,Durango,92,919,3055,4345,4,134,131,364,0,36,27,60
2025,48,Guanajuato,84,1189,4078,5629,3,116,122,171,3,21,48,60
2025,48,Guerrero,63,886,2575,2563,3,80,70,114,0,11,24,26
2025,48,Hidalgo,46,638,2578,2927,1,46,42,78,1,8,26,29
2025,48,Jalisco,218,3048,6692,9502,10,361,380,665,2,60,104,167
2025,48,México,160,2400,7550,9829,5,202,203,353,1,41,69,57
2025,48,Michoacán,110,1710,4699,7007,3,166,151,400,3,28,41,69
2025,48,Morelos,66,709,2325,2915,7,151,143,277,0,21,25,39
2025,48,Nayarit,91,1422,2654,3184,0,24,11,34,0,25,37,37
2025,48,Nuevo León,56,1513,4271,5328,0,137,108,253,0,45,68,99
2025,48,Oaxaca,48,903,1492,2252,2,81,78,144,0,28,40,78
2025,48,Puebla,55,744,2115,3727,3,108,108,229,0,17,18,35
2025,48,Querétaro,13,240,886,1181,1,18,22,40,0,5,4,11
2025,48,Quintana Roo,18,343,963,1719,1,48,61,82,0,4,13,21
2025,48,San Luis Potosí,41,674,2038,3197,1,53,44,161,0,2,6,58
2025,48,Sinaloa,79,1215,3023,5083,2,254,231,417,2,55,82,149
2025,48,Sonora,54,688,2073,3452,3,85,63,148,1,27,37,60
2025,48,Tabasco,49,1221,2626,4410,2,68,65,149,0,13,10,57
2025,48,Tamaulipas,53,762,2235,3493,3,186,174,404,0,35,59,169
2025,48,Tlaxcala,11,252,867,1501,0,9,17,52,0,4,1,6
2025,48,Veracruz,88,1345,4660,5939,8,402,307,723,3,39,63,126
2025,48,Yucatán,63,1180,3451,3626,2,97,72,139,1,7,9,30
2025,48,Zacatecas,52,519,1820,2647,1,19,22,22,0,5,6,13
