Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2018,19,Aguascalientes,21,231,565,1018,3,13,20,31,0,4,6,13
2018,19,Baja California,73,425,1234,1171,4,35,33,67,1,12,18,29
2018,19,Baja California Sur,11,56,233,316,0,5,4,15,0,3,3,4
2018,19,Campeche,18,146,412,425,1,12,13,17,0,3,6,7
2018,19,Coahuila,14,99,284,493,1,13,10,108,0,2,6,30
2018,19,Colima,17,108,375,446,3,15,24,40,2,9,13,11
2018,19,Chiapas,35,166,421,695,4,39,30,43,0,8,14,8
2018,19,Chihuahua,145,935,2349,3119,8,88,101,156,4,20,41,84
2018,19,Ciudad de México,286,1592,4281,6446,11,104,94,184,8,30,41,69
2018,19,Durango,77,355,1199,1605,1,46,46,75,2,6,18,13
2018,19,Guanajuato,44,217,876,965,0,32,25,71,0,9,8,41
2018,19,Guerrero,36,147,420,745,2,18,10,69,2,6,6,18
2018,19,Hidalgo,36,186,619,884,2,30,23,64,0,8,8,21
2018,19,Jalisco,185,1006,2661,3836,11,150,156,375,5,54,50,100
2018,19,México,140,854,2369,3383,2,77,64,213,1,17,15,48
2018,19,Michoacán,83,400,1010,1588,8,53,45,79,2,12,16,22
2018,19,Morelos,57,166,659,872,4,46,46,64,1,6,13,20
2018,19,Nayarit,31,165,464,583,2,21,19,23,2,20,23,28
2018,19,Nuevo León,56,287,848,1301,1,60,42,112,2,20,38,63
2018,19,Oaxaca,17,112,315,658,3,17,30,53,2,5,9,34
2018,19,Puebla,18,182,529,964,0,50,31,102,0,8,10,12
2018,19,Querétaro,18,65,210,308,4,13,7,25,0,6,7,7
2018,19,Quintana Roo,24,80,245,446,0,10,23,18,0,4,1,10
2018,19,San Luis Potosí,59,289,892,1262,4,41,49,79,0,9,4,17
2018,19,Sinaloa,74,473,1260,2001,5,84,88,183,0,33,42,91
2018,19,Sonora,42,148,542,978,4,60,46,105,4,10,25,66
2018,19,Tabasco,28,145,455,592,1,21,13,44,1,8,7,9
2018,19,Tamaulipas,104,612,1510,1975,10,80,52,94,9,37,35,76
2018,19,Tlaxcala,17,43,180,220,1,10,12,37,1,1,4,16
2018,19,Veracruz,115,512,1652,1906,17,127,121,247,5,20,40,68
2018,19,Yucatán,28,118,516,727,1,27,16,32,1,5,5,24
2018,19,Zacatecas,28,146,376,560,1,12,11,21,0,1,3,4
